snapshot_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
2026-04-30,45,30.22,2,49.07,Basic,North,0.0
2026-04-30,60,93.42,2,49.08,Premium,West,0.0
2026-04-30,68,37.1,5,33.12,Basic,North,0.0
2026-04-30,21,74.24,2,42.89,Standard,South,0.0
2026-04-30,52,27.84,0,39.09,Basic,North,0.0
2026-04-30,27,32.58,0,31.76,Basic,South,0.0
2026-04-30,26,60.52,1,49.06,Standard,North,0.0
2026-04-30,46,58.66,1,34.38,Standard,West,0.0
2026-04-30,51,65.48,5,40.98,Standard,West,0.0
2026-04-30,44,65.01,0,21.85,Standard,North,0.0
2026-04-30,11,55.93,0,55.72,Standard,North,0.0
2026-04-30,32,95.09,0,49.24,Premium,West,0.0
2026-04-30,24,28.97,1,43.7,Basic,South,0.0
2026-04-30,5,35.06,2,41.77,Basic,North,0.0
2026-04-30,7,41.35,6,42.5,Basic,North,0.0
2026-04-30,35,67.32,0,43.92,Standard,South,0.0
2026-04-30,11,35.89,1,40.88,Basic,East,0.0
2026-04-30,55,62.36,0,34.39,Standard,East,0.0
2026-04-30,8,65.33,0,32.29,Standard,North,0.0
2026-04-30,20,67.82,0,42.99,Standard,South,0.0
2026-04-30,72,97.32,0,44.2,Premium,South,0.0
2026-04-30,53,64.5,0,58.25,Standard,East,0.0
2026-04-30,42,66.09,2,47.75,Standard,South,0.0
2026-04-30,6,28.42,1,29.84,Basic,North,0.0
2026-04-30,7,61.33,1,41.28,Standard,West,0.0
2026-04-30,66,38.54,0,38.33,Basic,East,0.0
2026-04-30,59,99.21,4,50.32,Premium,South,0.0
2026-04-30,69,35.47,2,39.72,Basic,North,0.0
2026-04-30,59,42.39,0,37.69,Basic,North,0.0
2026-04-30,5,37.54,3,23.09,Basic,West,1.0
2026-04-30,59,63.83,0,22.49,Standard,West,0.0
2026-04-30,36,88.9,1,47.26,Premium,East,0.0
2026-04-30,52,42.19,1,42.6,Basic,North,0.0
2026-04-30,33,38.85,0,33.38,Basic,South,0.0
2026-04-30,54,43.99,0,49.37,Basic,South,0.0
2026-04-30,62,105.83,1,50.53,Premium,North,0.0
2026-04-30,71,88.57,1,64.57,Premium,North,0.0
2026-04-30,41,28.58,1,48.52,Basic,South,0.0
2026-04-30,23,50.68,2,54.51,Standard,South,0.0
2026-04-30,46,69.59,3,31.96,Standard,East,0.0
2026-04-30,38,68.28,1,44.17,Standard,East,0.0
2026-04-30,18,65.49,1,56.23,Standard,South,0.0
2026-04-30,54,58.87,1,46.72,Standard,South,0.0
2026-04-30,10,64.55,3,49.54,Standard,East,0.0
2026-04-30,32,35.92,3,23.12,Basic,North,1.0
2026-04-30,52,38.91,3,56.19,Basic,North,0.0
2026-04-30,67,36.36,0,29.09,Basic,West,0.0
2026-04-30,47,38.32,1,17.06,Basic,North,0.0
2026-04-30,71,34.38,1,33.49,Basic,North,0.0
2026-04-30,61,100.91,1,26.53,Premium,East,0.0
2026-04-30,21,98.16,1,40.15,Premium,East,0.0
2026-04-30,62,29.07,3,62.59,Basic,North,0.0
2026-04-30,27,41.95,1,33.2,Basic,West,0.0
2026-04-30,47,71.13,3,29.72,Standard,North,1.0
2026-04-30,18,67.33,0,44.25,Standard,East,0.0
2026-04-30,41,36.4,0,28.02,Basic,East,0.0
2026-04-30,51,103.29,2,59.65,Premium,West,0.0
2026-04-30,67,26.83,2,28.1,Basic,East,0.0
2026-04-30,69,41.21,1,39.71,Basic,East,1.0
2026-04-30,59,62.62,3,32.53,Standard,North,0.0
2026-04-30,42,70.48,0,69.99,Standard,West,0.0
2026-04-30,65,35.6,1,42.04,Basic,North,0.0
2026-04-30,12,58.79,3,42.54,Standard,South,0.0
2026-04-30,72,92.52,0,48.07,Premium,South,0.0
2026-04-30,18,40.11,2,31.46,Basic,South,0.0
2026-04-30,32,63.95,0,36.39,Standard,East,0.0
2026-04-30,66,31.89,2,29.12,Basic,North,0.0
2026-04-30,53,61.86,0,60.78,Standard,South,0.0
2026-04-30,62,68.21,1,38.47,Standard,South,0.0
2026-04-30,51,43.75,2,15.71,Basic,East,0.0
2026-04-30,45,24.3,1,25.34,Basic,East,0.0
2026-04-30,16,109.0,1,60.28,Premium,West,0.0
2026-04-30,72,36.02,0,34.48,Basic,North,0.0
2026-04-30,48,97.9,1,49.66,Premium,West,0.0
