customer_id,snapshot_date,tenure_months,monthly_charges,support_calls_30d,usage_hours_30d,plan,contract_type,region,churned_30d
CUST-0001,2026-06-30,9.0,51.76,2.0,25.6,Premium,Annual,South,0
CUST-0002,2026-06-30,75.0,42.75,3.0,28.1,Premium,Monthly,South,0
CUST-0003,2026-06-30,63.0,50.92,2.0,27.5,Premium,Monthly,South,0
CUST-0004,2026-06-30,43.0,63.98,1.0,,Premium,Two-year,North,0
CUST-0005,2026-06-30,42.0,93.98,0.0,55.6,Standard,Monthly,West,0
CUST-0006,2026-06-30,83.0,40.17,4.0,48.1,Premium,Monthly,South,0
CUST-0007,2026-06-30,9.0,72.74,1.0,65.4,Premium,Monthly,East,0
CUST-0008,2026-06-30,67.0,60.38,4.0,74.3,Premium,Monthly,North,0
CUST-0009,2026-06-30,20.0,64.14,2.0,21.5,Premium,Annual,North,0
CUST-0010,2026-06-30,10.0,96.07,1.0,39.1,Premium,Monthly,East,0
CUST-0011,2026-06-30,51.0,84.91,1.0,19.2,Premium,Monthly,South,0
CUST-0012,2026-06-30,94.0,104.1,2.0,25.6,Standard,Two-year,East,0
CUST-0013,2026-06-30,71.0,68.29,3.0,27.9,Premium,Annual,North,0
CUST-0014,2026-06-30,74.0,55.3,2.0,21.1,Premium,Annual,West,0
CUST-0015,2026-06-30,69.0,66.63,2.0,21.2,Standard,Annual,East,0
CUST-0016,2026-06-30,76.0,77.82,3.0,35.7,Premium,Two-year,West,0
CUST-0017,2026-06-30,50.0,76.24,1.0,18.5,Standard,Monthly,North,0
CUST-0018,2026-06-30,13.0,45.97,0.0,51.5,Standard,Annual,South,0
CUST-0019,2026-06-30,81.0,74.17,2.0,23.3,Basic,Annual,South,0
CUST-0020,2026-06-30,44.0,77.48,3.0,83.0,Basic,Monthly,East,0
CUST-0021,2026-06-30,49.0,132.42,5.0,30.8,Premium,Monthly,South,1
CUST-0022,2026-06-30,36.0,117.04,1.0,39.2,Standard,Monthly,North,0
CUST-0023,2026-06-30,18.0,51.52,3.0,17.3,Standard,Annual,South,0
CUST-0024,2026-06-30,89.0,,0.0,65.3,Basic,Annual,South,0
CUST-0025,2026-06-30,76.0,36.88,1.0,55.9,Standard,Annual,South,0
CUST-0026,2026-06-30,62.0,57.82,0.0,,Premium,Monthly,North,0
CUST-0027,2026-06-30,39.0,79.57,1.0,16.5,Premium,Monthly,South,0
CUST-0028,2026-06-30,79.0,100.94,2.0,41.4,,Monthly,East,0
CUST-0029,2026-06-30,53.0,54.5,0.0,20.1,Premium,Monthly,South,0
CUST-0030,2026-06-30,43.0,,0.0,,Standard,Two-year,South,0
CUST-0031,2026-06-30,44.0,20.47,1.0,50.9,Premium,Two-year,East,0
CUST-0032,2026-06-30,22.0,68.1,1.0,39.5,Standard,Two-year,West,0
CUST-0033,2026-06-30,9.0,46.5,1.0,0.0,Standard,Annual,South,1
CUST-0034,2026-06-30,54.0,59.29,1.0,,Standard,Two-year,East,1
CUST-0035,2026-06-30,86.0,50.96,0.0,49.0,Premium,Monthly,West,0
CUST-0036,2026-06-30,7.0,69.74,1.0,57.4,Standard,Monthly,East,0
CUST-0037,2026-06-30,83.0,29.81,2.0,55.7,Standard,Monthly,West,0
CUST-0038,2026-06-30,80.0,,3.0,12.5,Premium,Monthly,West,0
CUST-0039,2026-06-30,27.0,123.1,1.0,42.8,Premium,Monthly,North,0
CUST-0040,2026-06-30,61.0,41.1,2.0,54.2,Standard,Monthly,South,0
CUST-0041,2026-06-30,16.0,45.68,2.0,11.5,Premium,Two-year,East,0
CUST-0042,2026-06-30,73.0,116.09,2.0,37.9,Premium,Monthly,West,1
CUST-0043,2026-06-30,68.0,,0.0,42.4,Basic,Two-year,South,0
CUST-0044,2026-06-30,35.0,43.88,0.0,33.2,Premium,Annual,North,0
CUST-0045,2026-06-30,7.0,63.16,1.0,8.4,Standard,Annual,East,0
CUST-0046,2026-06-30,94.0,80.2,1.0,32.8,Premium,Annual,North,0
CUST-0047,2026-06-30,43.0,113.49,0.0,32.8,Basic,Monthly,East,0
CUST-0048,2026-06-30,86.0,48.32,1.0,35.6,Premium,Annual,South,0
CUST-0049,2026-06-30,66.0,66.11,3.0,29.0,Basic,Monthly,East,0
CUST-0050,2026-06-30,75.0,90.66,2.0,30.9,Standard,Two-year,West,0
CUST-0051,2026-06-30,73.0,82.43,2.0,37.4,Premium,Monthly,East,0
CUST-0052,2026-06-30,19.0,62.97,4.0,45.1,Standard,Monthly,East,0
CUST-0053,2026-06-30,35.0,,3.0,33.1,Premium,Annual,East,0
CUST-0054,2026-06-30,45.0,39.0,1.0,31.4,Premium,Annual,West,0
CUST-0055,2026-06-30,48.0,66.28,1.0,,Premium,Monthly,West,0
CUST-0056,2026-06-30,5.0,65.61,0.0,7.3,Basic,Annual,North,0
CUST-0057,2026-06-30,53.0,77.57,1.0,45.6,Premium,Monthly,East,0
CUST-0058,2026-06-30,15.0,58.67,0.0,38.0,Basic,Annual,North,0
CUST-0059,2026-06-30,72.0,83.32,3.0,38.6,Standard,Monthly,West,0
CUST-0060,2026-06-30,66.0,96.31,2.0,53.4,Premium,Monthly,East,0
CUST-0061,2026-06-30,89.0,,0.0,6.8,Premium,Monthly,South,0
CUST-0062,2026-06-30,72.0,80.44,1.0,6.4,Standard,Monthly,North,0
CUST-0063,2026-06-30,36.0,73.28,2.0,42.4,Standard,Monthly,South,1
CUST-0064,2026-06-30,93.0,72.0,0.0,37.9,,Monthly,East,0
CUST-0065,2026-06-30,40.0,54.68,2.0,40.7,Premium,Monthly,North,0
CUST-0066,2026-06-30,32.0,,4.0,30.6,Standard,Monthly,North,0
CUST-0067,2026-06-30,87.0,69.67,0.0,48.6,Premium,Monthly,West,0
CUST-0068,2026-06-30,36.0,122.24,1.0,52.9,,Monthly,East,1
CUST-0069,2026-06-30,8.0,109.76,2.0,45.7,Basic,Annual,North,0
CUST-0070,2026-06-30,46.0,81.26,1.0,33.8,Premium,Two-year,South,0
CUST-0071,2026-06-30,77.0,53.69,2.0,4.3,Premium,Monthly,West,0
CUST-0072,2026-06-30,19.0,45.3,2.0,50.3,Basic,Two-year,East,0
CUST-0073,2026-06-30,45.0,100.59,4.0,57.5,Basic,Monthly,East,0
CUST-0074,2026-06-30,13.0,78.31,1.0,48.3,Basic,Monthly,South,0
CUST-0075,2026-06-30,66.0,83.52,2.0,23.9,Premium,Annual,South,0
CUST-0076,2026-06-30,46.0,,0.0,48.8,Basic,Annual,North,0
CUST-0077,2026-06-30,32.0,94.26,3.0,51.8,,Annual,East,0
CUST-0078,2026-06-30,22.0,82.91,1.0,62.9,Premium,Monthly,North,1
CUST-0079,2026-06-30,55.0,,1.0,24.0,Basic,Annual,North,0
CUST-0080,2026-06-30,65.0,,2.0,34.4,Standard,Monthly,East,0
CUST-0081,2026-06-30,,78.33,3.0,50.0,Standard,Monthly,West,0
CUST-0082,2026-06-30,42.0,73.26,4.0,38.9,Premium,Monthly,East,0
CUST-0083,2026-06-30,16.0,64.99,3.0,20.1,Standard,Two-year,South,1
CUST-0084,2026-06-30,80.0,69.52,1.0,44.6,Standard,Monthly,South,0
CUST-0085,2026-06-30,61.0,65.95,0.0,47.3,Basic,Annual,South,0
CUST-0086,2026-06-30,68.0,75.66,4.0,39.4,Premium,Annual,South,0
CUST-0087,2026-06-30,10.0,107.32,2.0,41.5,Premium,Annual,East,1
CUST-0088,2026-06-30,30.0,18.0,3.0,33.9,Basic,Annual,South,0
CUST-0089,2026-06-30,74.0,66.32,1.0,,Standard,Annual,East,0
CUST-0090,2026-06-30,80.0,76.24,1.0,,Premium,Monthly,West,0
CUST-0091,2026-06-30,42.0,79.1,0.0,28.6,Basic,Monthly,West,0
CUST-0092,2026-06-30,78.0,63.07,3.0,38.2,Standard,Annual,North,0
CUST-0093,2026-06-30,,29.84,0.0,52.1,Standard,Monthly,South,0
CUST-0094,2026-06-30,38.0,79.87,3.0,,Standard,Monthly,North,0
CUST-0095,2026-06-30,87.0,113.46,1.0,17.0,Standard,Monthly,South,0
CUST-0096,2026-06-30,28.0,35.19,1.0,5.4,Standard,Monthly,South,0
CUST-0097,2026-06-30,23.0,92.73,0.0,38.5,Basic,Monthly,North,0
CUST-0098,2026-06-30,66.0,64.12,3.0,20.1,Standard,Monthly,East,0
CUST-0099,2026-06-30,62.0,70.53,0.0,31.8,,Two-year,South,0
CUST-0100,2026-06-30,14.0,46.73,1.0,48.6,Premium,Monthly,West,0
CUST-0101,2026-06-30,80.0,63.97,6.0,27.7,Basic,Two-year,North,0
CUST-0102,2026-06-30,20.0,103.2,0.0,41.7,,Two-year,North,0
CUST-0103,2026-06-30,78.0,85.98,1.0,33.2,Basic,Monthly,South,0
CUST-0104,2026-06-30,1.0,113.58,0.0,48.8,Premium,Annual,North,0
CUST-0105,2026-06-30,77.0,100.26,3.0,45.6,Standard,Annual,South,1
CUST-0106,2026-06-30,76.0,82.54,1.0,26.9,Premium,Annual,West,0
CUST-0107,2026-06-30,75.0,113.85,3.0,35.3,Basic,Monthly,North,0
CUST-0108,2026-06-30,64.0,82.54,1.0,54.7,Basic,Monthly,North,0
CUST-0109,2026-06-30,46.0,91.87,2.0,44.3,Standard,Monthly,East,0
CUST-0110,2026-06-30,68.0,64.88,1.0,15.6,Basic,Annual,South,0
CUST-0111,2026-06-30,27.0,73.6,1.0,48.5,Basic,Two-year,East,0
CUST-0112,2026-06-30,75.0,,2.0,20.6,Premium,Annual,South,0
CUST-0113,2026-06-30,54.0,95.75,2.0,60.6,Premium,Annual,West,0
CUST-0114,2026-06-30,45.0,43.72,3.0,54.4,Basic,Two-year,North,0
CUST-0115,2026-06-30,49.0,90.78,1.0,42.6,Premium,Annual,South,0
CUST-0116,2026-06-30,55.0,67.42,1.0,40.5,Premium,Monthly,East,1
CUST-0117,2026-06-30,4.0,100.11,4.0,34.7,Premium,Annual,West,1
CUST-0118,2026-06-30,14.0,90.02,2.0,48.9,Premium,Monthly,South,1
CUST-0119,2026-06-30,24.0,115.7,0.0,32.1,Premium,Monthly,East,1
CUST-0120,2026-06-30,11.0,89.54,0.0,41.8,Standard,Monthly,North,0
CUST-0121,2026-06-30,43.0,34.27,3.0,52.0,Premium,Two-year,North,0
CUST-0122,2026-06-30,65.0,70.39,1.0,29.0,Premium,Monthly,North,0
CUST-0123,2026-06-30,63.0,43.87,1.0,28.1,Basic,Monthly,East,0
CUST-0124,2026-06-30,46.0,59.56,0.0,18.9,,Monthly,South,0
CUST-0125,2026-06-30,83.0,108.27,2.0,21.0,Basic,Monthly,East,1
CUST-0126,2026-06-30,55.0,87.3,2.0,8.7,Premium,Monthly,North,0
CUST-0127,2026-06-30,8.0,,2.0,49.7,Standard,Annual,West,0
CUST-0128,2026-06-30,74.0,47.67,2.0,66.9,Premium,Annual,West,0
CUST-0129,2026-06-30,56.0,72.79,2.0,60.8,Premium,Monthly,North,0
CUST-0130,2026-06-30,61.0,42.8,2.0,12.0,Premium,Monthly,North,0
CUST-0131,2026-06-30,55.0,55.89,2.0,49.6,Basic,Monthly,North,0
CUST-0132,2026-06-30,,79.49,3.0,60.8,Premium,Monthly,West,0
CUST-0133,2026-06-30,9.0,99.73,2.0,30.7,Premium,Monthly,North,0
CUST-0134,2026-06-30,54.0,86.61,1.0,39.6,Basic,Annual,East,0
CUST-0135,2026-06-30,77.0,18.0,0.0,5.9,Premium,Annual,South,0
CUST-0136,2026-06-30,30.0,,3.0,42.3,Standard,Monthly,West,0
CUST-0137,2026-06-30,58.0,73.73,3.0,21.0,Premium,Monthly,South,0
CUST-0138,2026-06-30,3.0,81.93,2.0,41.2,Standard,Monthly,South,0
CUST-0139,2026-06-30,34.0,,0.0,13.0,Basic,Monthly,West,0
CUST-0140,2026-06-30,42.0,22.48,2.0,46.7,Basic,Two-year,North,0
CUST-0141,2026-06-30,95.0,57.81,4.0,54.4,Basic,Annual,West,0
CUST-0142,2026-06-30,21.0,,3.0,25.5,Basic,Two-year,North,0
CUST-0143,2026-06-30,27.0,34.04,2.0,19.8,Premium,Two-year,South,0
CUST-0144,2026-06-30,40.0,107.42,3.0,3.5,Standard,Annual,West,1
CUST-0145,2026-06-30,96.0,80.84,2.0,33.7,Basic,Two-year,East,0
CUST-0146,2026-06-30,82.0,92.32,1.0,28.7,Premium,Monthly,East,0
CUST-0147,2026-06-30,4.0,58.3,0.0,13.2,Premium,Monthly,South,1
CUST-0148,2026-06-30,23.0,91.53,3.0,45.2,Standard,Monthly,South,0
CUST-0149,2026-06-30,79.0,97.64,1.0,30.8,Premium,Monthly,South,0
CUST-0150,2026-06-30,6.0,,2.0,,Standard,Monthly,East,0
CUST-0151,2026-06-30,83.0,77.63,1.0,29.1,Premium,Monthly,South,0
CUST-0152,2026-06-30,28.0,78.49,1.0,55.1,Basic,Annual,South,1
CUST-0153,2026-06-30,89.0,51.28,2.0,47.6,Premium,Annual,South,0
CUST-0154,2026-06-30,29.0,68.46,1.0,35.9,Premium,Annual,South,0
CUST-0155,2026-06-30,42.0,68.34,3.0,47.9,Premium,Monthly,South,0
CUST-0156,2026-06-30,64.0,81.2,3.0,19.4,Premium,Annual,North,0
CUST-0157,2026-06-30,13.0,96.0,1.0,38.5,Premium,Monthly,West,1
CUST-0158,2026-06-30,54.0,46.6,3.0,40.4,Standard,Monthly,East,0
CUST-0159,2026-06-30,49.0,,3.0,30.5,Premium,Monthly,North,0
CUST-0160,2026-06-30,76.0,107.55,2.0,45.0,Premium,Monthly,East,0
CUST-0161,2026-06-30,96.0,54.15,3.0,25.5,Premium,Monthly,West,0
CUST-0162,2026-06-30,64.0,52.27,5.0,46.2,Standard,Annual,North,0
CUST-0163,2026-06-30,40.0,,1.0,46.8,Basic,Annual,North,0
CUST-0164,2026-06-30,40.0,92.27,1.0,0.0,Premium,Annual,North,0
CUST-0165,2026-06-30,41.0,72.27,2.0,57.0,Basic,Monthly,North,0
CUST-0166,2026-06-30,79.0,103.9,2.0,0.0,Basic,Annual,East,0
CUST-0167,2026-06-30,31.0,92.56,0.0,28.1,Standard,Annual,West,0
CUST-0168,2026-06-30,17.0,92.2,3.0,54.4,Premium,Monthly,North,0
CUST-0169,2026-06-30,33.0,85.3,1.0,32.9,,Annual,East,0
CUST-0170,2026-06-30,3.0,127.86,2.0,14.5,Basic,Monthly,North,0
CUST-0171,2026-06-30,11.0,67.08,0.0,20.5,,Monthly,East,0
CUST-0172,2026-06-30,9.0,23.92,4.0,54.4,Premium,Monthly,East,0
CUST-0173,2026-06-30,75.0,110.5,0.0,7.3,Premium,Monthly,South,0
CUST-0174,2026-06-30,,61.02,3.0,56.1,Basic,Monthly,North,0
CUST-0175,2026-06-30,67.0,,0.0,37.1,Basic,Monthly,East,0
CUST-0176,2026-06-30,45.0,103.43,1.0,18.9,Standard,Monthly,West,0
CUST-0177,2026-06-30,69.0,33.55,2.0,,Standard,Two-year,South,0
CUST-0178,2026-06-30,16.0,41.96,5.0,21.7,Premium,Monthly,North,0
CUST-0179,2026-06-30,,33.57,3.0,51.9,Standard,Monthly,North,0
CUST-0180,2026-06-30,49.0,52.94,1.0,49.7,Premium,Monthly,East,0
CUST-0181,2026-06-30,91.0,,3.0,10.5,Standard,Two-year,East,0
CUST-0182,2026-06-30,15.0,84.58,2.0,31.5,Premium,Annual,West,1
CUST-0183,2026-06-30,48.0,78.63,4.0,24.2,Basic,Two-year,East,1
CUST-0184,2026-06-30,67.0,38.09,1.0,58.7,Premium,Monthly,West,0
CUST-0185,2026-06-30,48.0,18.0,0.0,16.4,Premium,Monthly,West,0
CUST-0186,2026-06-30,43.0,73.3,1.0,63.7,Premium,Monthly,South,0
CUST-0187,2026-06-30,16.0,60.68,0.0,37.5,Standard,Monthly,East,0
CUST-0188,2026-06-30,37.0,83.03,0.0,19.4,Basic,Annual,South,0
CUST-0189,2026-06-30,23.0,88.85,2.0,27.2,Premium,Two-year,South,0
CUST-0190,2026-06-30,29.0,75.32,2.0,25.2,Premium,Monthly,West,0
CUST-0191,2026-06-30,66.0,90.24,0.0,,Basic,Two-year,East,0
CUST-0192,2026-06-30,61.0,77.5,4.0,39.5,Standard,Monthly,West,0
CUST-0193,2026-06-30,59.0,84.72,2.0,18.4,Standard,Monthly,South,0
CUST-0194,2026-06-30,35.0,55.09,3.0,3.1,Premium,Monthly,East,0
CUST-0195,2026-06-30,93.0,67.69,1.0,,Premium,Monthly,South,0
CUST-0196,2026-06-30,9.0,76.72,1.0,9.2,Premium,Annual,North,1
CUST-0197,2026-06-30,33.0,91.69,0.0,26.0,Premium,Monthly,North,0
CUST-0198,2026-06-30,12.0,62.55,0.0,23.5,Standard,Monthly,East,0
CUST-0199,2026-06-30,33.0,84.51,0.0,24.1,Standard,Annual,North,0
CUST-0200,2026-06-30,93.0,65.62,0.0,70.0,Basic,Monthly,West,0
CUST-0201,2026-06-30,36.0,69.18,3.0,38.9,Premium,Monthly,North,0
CUST-0202,2026-06-30,88.0,91.91,2.0,41.9,Standard,Annual,North,0
CUST-0203,2026-06-30,48.0,24.17,3.0,9.6,Standard,Monthly,East,0
CUST-0204,2026-06-30,68.0,40.88,1.0,27.5,Basic,Monthly,North,0
CUST-0205,2026-06-30,44.0,36.43,2.0,41.4,Basic,Monthly,West,0
CUST-0206,2026-06-30,26.0,18.0,3.0,21.6,,Monthly,East,0
