row_id,customer_id,snapshot_date,plan,region,tenure_months,monthly_charge,support_contacts,churned_next_month
1,C0001,2026-01-31,Basic,East,25,31.8,0,0
2,C0002,2026-01-31,Standard,North,11,66.97,2,0
3,C0003,2026-01-31,Standard,South,15,71.4,1,0
4,C0004,2026-01-31,Basic,East,56,34.21,1,0
5,C0005,2026-01-31,Basic,East,54,35.42,0,0
6,C0006,2026-01-31,Standard,South,28,67.0,1,0
7,C0007,2026-01-31,Basic,West,58,22.56,1,0
8,C0008,2026-01-31,Premium,West,25,93.24,0,0
9,C0009,2026-01-31,Basic,North,9,33.29,2,0
10,C0010,2026-01-31,Basic,East,14,41.38,1,0
11,C0011,2026-01-31,Premium,East,32,103.6,1,0
12,C0012,2026-01-31,Basic,South,37,30.32,2,0
13,C0013,2026-01-31,Basic,East,31,38.99,1,0
14,C0014,2026-01-31,Standard,West,50,63.28,0,0
15,C0015,2026-01-31,Premium,West,29,92.99,1,0
16,C0016,2026-01-31,Basic,West,11,30.68,2,0
17,C0017,2026-01-31,Basic,East,30,37.79,3,0
18,C0018,2026-01-31,Standard,South,22,64.48,1,0
19,C0019,2026-01-31,Premium,West,45,90.87,0,0
20,C0020,2026-01-31,Standard,South,31,73.42,4,0
21,C0021,2026-01-31,Basic,East,20,32.83,2,0
22,C0022,2026-01-31,Basic,South,5,25.61,1,0
23,C0023,2026-01-31,Basic,South,12,24.88,2,0
24,C0024,2026-01-31,Basic,North,29,34.04,2,1
25,C0025,2026-01-31,Standard,West,43,67.31,1,0
26,C0026,2026-01-31,Basic,North,22,30.48,3,0
27,C0027,2026-01-31,Standard,North,23,59.67,1,0
28,C0028,2026-01-31,Standard,West,21,70.4,2,0
29,C0029,2026-01-31,Standard,East,16,56.31,2,1
30,C0030,2026-01-31,Basic,South,2,36.14,1,0
31,C0031,2026-01-31,Premium,East,48,88.57,5,1
32,C0032,2026-01-31,Standard,South,37,66.41,2,0
33,C0033,2026-01-31,Standard,North,7,75.93,0,0
34,C0034,2026-01-31,Basic,East,59,27.31,1,0
35,C0035,2026-01-31,Basic,North,57,31.53,3,1
36,C0036,2026-01-31,Premium,East,29,84.89,4,1
37,C0037,2026-01-31,Basic,West,22,39.28,4,1
38,C0038,2026-01-31,Basic,West,7,43.71,0,0
39,C0039,2026-01-31,Standard,South,27,61.8,2,0
40,C0040,2026-01-31,Standard,West,1,50.52,1,0
41,C0041,2026-01-31,Premium,East,46,93.14,1,0
42,C0042,2026-01-31,Basic,South,51,38.48,1,0
43,C0043,2026-01-31,Premium,North,27,92.98,2,0
44,C0044,2026-01-31,Basic,South,43,35.99,3,0
45,C0045,2026-01-31,Standard,East,13,75.01,0,1
46,C0046,2026-01-31,Standard,West,30,66.92,0,0
47,C0047,2026-01-31,Basic,North,57,24.85,1,0
48,C0048,2026-01-31,Basic,East,38,34.51,1,0
49,C0049,2026-01-31,Standard,West,34,66.63,3,0
50,C0050,2026-01-31,Premium,West,20,100.01,0,0
51,C0051,2026-01-31,Standard,South,21,67.52,0,0
52,C0052,2026-01-31,Premium,North,52,102.51,2,0
