customer_id,snapshot_date,plan,region,tenure_months,monthly_charge,support_contacts,current_usage_hours,churned_next_month,next_month_usage_hours
C0001,2026-01-31,Standard,South,42,66.98,2,40.04,0,27.19
C0002,2026-01-31,Standard,West,25,72.14,2,44.81,0,34.87
C0003,2026-01-31,Premium,South,64,96.83,2,69.25,0,63.87
C0004,2026-01-31,,West,25,65.16,3,61.5,0,47.94
C0005,2026-01-31,Basic,South,21,27.79,2,22.48,0,19.56
C0006,2026-01-31,Premium,North,45,88.29,0,51.46,0,46.21
C0007,2026-01-31,Standard,South,10,55.54,2,52.42,0,42.43
C0008,2026-01-31,Standard,East,4,66.44,6,33.71,1,18.93
C0009,2026-01-31,Basic,West,53,35.19,2,20.63,0,22.94
C0010,2026-01-31,,East,55,57.32,1,41.71,0,36.35
C0011,2026-01-31,Basic,West,4,33.87,1,23.41,0,21.91
C0012,2026-01-31,Premium,West,15,96.99,0,61.9,0,54.17
C0013,2026-01-31,Standard,West,10,67.65,1,53.23,0,35.42
C0014,2026-01-31,Premium,East,55,94.15,4,35.32,0,28.59
C0015,2026-01-31,Standard,South,24,67.95,3,43.4,1,33.31
C0016,2026-01-31,Basic,South,9,36.06,0,33.66,0,33.71
C0017,2026-01-31,Standard,North,63,50.35,1,58.66,0,30.81
C0018,2026-01-31,Basic,South,27,37.39,0,22.91,0,19.31
C0019,2026-01-31,Premium,West,5,95.66,3,39.62,1,34.26
C0020,2026-01-31,Standard,South,52,69.62,2,49.58,0,38.86
C0021,2026-01-31,Standard,North,33,59.79,1,57.15,0,45.82
C0022,2026-01-31,Basic,East,26,36.15,2,43.16,1,37.14
C0023,2026-01-31,Premium,West,64,99.35,4,41.54,0,43.57
C0024,2026-01-31,Premium,West,30,98.83,1,56.99,0,52.4
C0025,2026-01-31,Standard,South,13,68.17,1,33.67,0,31.27
C0026,2026-01-31,Basic,South,42,28.83,2,44.56,0,33.86
C0027,2026-01-31,Standard,East,49,63.63,1,28.08,0,28.3
C0028,2026-01-31,Basic,North,17,38.08,1,28.92,0,24.04
C0029,2026-01-31,Basic,South,48,40.94,1,27.95,1,22.6
C0030,2026-01-31,Standard,North,18,69.03,3,34.56,0,22.08
C0031,2026-01-31,Standard,West,46,60.7,1,48.45,0,43.8
C0032,2026-01-31,Premium,East,32,88.11,4,60.78,0,50.35
C0033,2026-01-31,Basic,West,21,32.72,2,34.52,1,25.3
C0034,2026-01-31,Basic,West,18,42.23,1,49.13,0,40.63
C0035,2026-01-31,Standard,West,9,66.13,1,46.19,0,53.37
C0036,2026-01-31,Basic,North,26,34.24,1,37.48,0,32.85
C0037,2026-01-31,,West,16,27.28,0,40.96,0,35.56
C0038,2026-01-31,Standard,North,43,61.72,2,43.93,0,43.77
C0039,2026-01-31,Basic,South,9,40.65,0,42.78,0,41.36
C0040,2026-01-31,Standard,East,63,58.22,1,34.69,0,36.88
C0041,2026-01-31,Standard,South,16,65.39,3,45.55,0,33.62
C0042,2026-01-31,Premium,North,49,97.25,0,64.64,0,55.67
C0043,2026-01-31,Standard,North,8,63.78,2,23.11,0,15.15
C0044,2026-01-31,Basic,West,4,34.18,1,17.31,0,17.11
C0045,2026-01-31,Premium,South,14,84.99,2,64.39,0,55.9
C0046,2026-01-31,Premium,South,33,,0,81.59,0,77.79
C0047,2026-01-31,Basic,West,46,32.19,0,34.44,0,32.41
C0048,2026-01-31,Basic,North,64,29.06,2,13.82,0,11.1
C0049,2026-01-31,Standard,West,2,63.18,3,35.15,1,17.78
C0050,2026-01-31,Basic,West,37,31.19,2,32.88,0,29.08
C0051,2026-01-31,Basic,East,12,34.95,2,26.22,0,20.47
C0052,2026-01-31,Basic,North,21,34.3,0,31.53,0,34.63
C0053,2026-01-31,Standard,North,31,74.8,0,43.66,0,34.42
C0054,2026-01-31,Standard,South,5,58.39,0,46.81,0,43.62
C0055,2026-01-31,Standard,East,43,61.44,0,24.66,0,35.64
C0056,2026-01-31,Standard,North,56,64.07,1,47.42,0,27.03
C0057,2026-01-31,Standard,South,5,71.62,1,64.3,0,59.91
C0058,2026-01-31,Standard,North,9,67.62,1,49.36,0,38.92
C0059,2026-01-31,Basic,East,59,29.39,0,25.71,0,25.48
C0060,2026-01-31,Basic,North,52,37.85,1,36.67,0,39.66
C0061,2026-01-31,Standard,East,3,70.22,1,50.49,0,40.62
C0062,2026-01-31,Standard,North,39,69.84,1,34.28,0,26.05
C0063,2026-01-31,Standard,North,24,68.87,0,45.45,0,49.15
C0064,2026-01-31,Standard,North,36,68.98,1,37.86,0,32.58
C0065,2026-01-31,Standard,West,35,72.25,3,60.6,0,49.04
C0066,2026-01-31,Standard,North,54,62.0,0,50.36,0,46.1
C0067,2026-01-31,Standard,South,23,65.3,2,61.93,0,43.27
C0068,2026-01-31,Basic,East,48,35.85,1,21.77,0,18.31
C0069,2026-01-31,Basic,East,15,30.17,3,41.14,0,21.57
C0070,2026-01-31,Standard,East,35,52.6,1,42.21,0,42.39
C0071,2026-01-31,Basic,West,10,39.02,0,22.93,0,24.91
C0072,2026-01-31,Basic,South,28,36.88,1,29.35,1,32.14
C0073,2026-01-31,Premium,West,41,96.14,1,67.96,0,61.78
C0074,2026-01-31,Basic,South,44,38.71,0,22.37,0,17.08
C0075,2026-01-31,Basic,West,14,38.29,2,31.63,0,25.21
C0076,2026-01-31,Basic,East,27,32.37,1,29.66,1,37.99
C0077,2026-01-31,Basic,East,14,34.45,0,24.71,0,27.09
C0078,2026-01-31,Standard,West,46,68.61,0,50.14,0,46.44
C0079,2026-01-31,Standard,West,6,63.11,1,47.77,0,31.89
C0080,2026-01-31,Standard,West,59,66.88,0,21.31,0,28.26
C0081,2026-01-31,Standard,East,10,66.82,4,30.62,0,22.97
C0082,2026-01-31,Basic,North,46,34.18,3,31.06,1,24.6
C0083,2026-01-31,Premium,South,47,102.39,2,43.06,0,41.5
C0084,2026-01-31,Basic,North,6,34.09,1,12.23,1,5.79
C0085,2026-01-31,Basic,West,37,32.54,0,39.95,0,39.63
C0086,2026-01-31,Basic,North,5,32.91,2,48.87,0,31.88
C0087,2026-01-31,Standard,North,10,76.15,0,41.84,0,42.49
C0088,2026-01-31,Standard,North,23,72.01,2,31.74,0,21.8
C0089,2026-01-31,Basic,East,52,33.65,1,38.71,0,29.16
C0090,2026-01-31,Standard,East,16,62.8,1,32.72,0,22.58
C0091,2026-01-31,Basic,West,60,28.05,0,66.02,0,55.78
C0092,2026-01-31,Standard,South,28,,3,50.75,0,38.96
C0093,2026-01-31,Standard,South,58,66.79,3,52.69,0,37.38
C0094,2026-01-31,Basic,North,28,28.57,2,26.53,0,15.16
C0095,2026-01-31,Basic,North,24,34.93,0,31.87,0,28.9
C0096,2026-01-31,Standard,South,10,57.71,0,48.3,0,51.2
C0097,2026-01-31,Basic,West,22,39.39,3,40.65,0,33.25
C0098,2026-01-31,Basic,East,35,31.89,1,24.43,0,20.59
C0099,2026-01-31,Basic,West,17,32.17,2,27.52,0,29.69
C0100,2026-01-31,Premium,North,51,84.46,1,45.99,0,53.16
C0101,2026-01-31,Premium,North,25,85.01,1,50.5,0,47.74
C0102,2026-01-31,Standard,West,10,55.33,1,52.64,0,30.61
C0103,2026-01-31,Basic,North,54,34.15,2,19.74,0,20.08
C0104,2026-01-31,Premium,North,59,105.04,2,41.96,0,42.07
C0105,2026-01-31,Standard,South,50,66.18,2,46.62,0,44.78
C0106,2026-01-31,Standard,West,64,67.76,1,43.52,0,29.41
C0107,2026-01-31,Standard,East,41,68.86,3,57.57,0,44.07
C0108,2026-01-31,Basic,North,61,30.92,0,6.75,1,5.56
C0109,2026-01-31,Basic,West,23,38.65,0,18.8,0,19.79
C0110,2026-01-31,Premium,West,62,87.73,1,36.86,0,36.2
C0111,2026-01-31,Standard,West,24,70.95,0,20.03,1,23.38
C0112,2026-01-31,Basic,West,64,23.28,1,30.08,0,21.84
C0113,2026-01-31,Basic,North,29,36.6,4,27.04,0,27.18
C0114,2026-01-31,Standard,West,32,71.32,1,34.88,0,28.94
C0115,2026-01-31,Basic,South,16,33.74,3,45.92,0,36.11
C0116,2026-01-31,Premium,West,20,86.12,1,50.17,0,42.63
C0117,2026-01-31,Standard,East,51,65.96,1,39.35,0,22.27
C0118,2026-01-31,Standard,West,42,70.39,0,37.33,0,29.96
C0119,2026-01-31,Standard,East,39,65.04,3,53.47,0,34.25
C0120,2026-01-31,Standard,East,10,68.24,1,26.78,0,24.46
