customer_id,snapshot_date,plan,region,tenure_months,monthly_charge,support_contacts,current_usage_hours,churned_next_month,next_month_usage_hours
C0001,2026-01-31,Standard,North,68,62.35,2,48.97,0,40.83
C0002,2026-01-31,Standard,West,9,69.84,2,53.61,0,40.17
C0003,2026-01-31,Premium,West,25,98.87,0,60.34,0,65.36
C0004,2026-01-31,Standard,North,39,62.76,2,33.75,0,27.89
C0005,2026-01-31,Basic,West,68,42.25,2,23.58,0,22.29
C0006,2026-01-31,Premium,North,65,92.0,0,50.26,1,50.52
C0007,2026-01-31,Standard,East,24,65.3,2,47.85,0,32.97
C0008,2026-01-31,Standard,North,52,62.8,2,53.23,0,33.21
C0009,2026-01-31,Basic,South,18,30.17,2,32.39,0,16.96
C0010,2026-01-31,Standard,East,67,52.6,1,16.5,0,22.6
C0011,2026-01-31,Basic,East,10,39.02,0,17.29,1,20.68
C0012,2026-01-31,Premium,South,30,96.88,1,37.08,0,42.64
C0013,2026-01-31,Standard,West,44,66.14,1,43.82,0,39.48
C0014,2026-01-31,Premium,West,47,98.71,0,38.93,0,34.38
C0015,2026-01-31,Standard,North,15,68.29,2,57.9,0,46.47
C0016,2026-01-31,Basic,East,29,32.37,1,28.03,0,37.09
C0017,2026-01-31,Standard,East,15,67.81,2,46.98,0,40.68
C0018,2026-01-31,Basic,South,49,33.12,0,27.38,0,24.58
C0019,2026-01-31,Premium,East,55,86.33,0,48.55,0,45.46
C0020,2026-01-31,Standard,West,32,71.23,1,53.11,0,37.78
C0021,2026-01-31,Standard,West,44,66.82,1,32.96,0,30.32
C0022,2026-01-31,Basic,West,59,33.41,2,38.68,0,23.6
C0023,2026-01-31,Premium,East,9,96.68,0,48.34,0,43.83
C0024,2026-01-31,Premium,South,8,97.31,0,41.32,0,50.95
C0025,2026-01-31,Standard,West,28,63.38,2,57.27,0,44.59
C0026,2026-01-31,Basic,South,37,34.96,2,32.97,0,25.75
C0027,2026-01-31,Standard,East,46,60.74,1,73.69,0,66.59
C0028,2026-01-31,Basic,South,60,33.95,1,35.92,0,38.79
C0029,2026-01-31,Basic,South,13,38.27,1,28.23,0,24.35
C0030,2026-01-31,Standard,North,47,56.82,0,45.81,0,40.78
C0031,2026-01-31,Standard,West,20,61.68,1,36.12,0,24.98
C0032,2026-01-31,Premium,North,69,106.63,1,52.82,0,47.59
C0033,2026-01-31,Basic,North,50,34.43,3,51.07,0,41.0
C0034,2026-01-31,Basic,West,6,37.3,3,45.94,0,36.7
C0035,2026-01-31,Standard,East,35,65.55,1,44.03,0,38.11
C0036,2026-01-31,Basic,South,33,45.48,1,37.6,0,31.15
C0037,2026-01-31,Basic,East,28,30.95,3,50.81,0,33.47
C0038,2026-01-31,Standard,South,21,61.92,0,56.81,0,46.77
C0039,2026-01-31,Basic,North,12,38.56,2,34.86,0,26.51
C0040,2026-01-31,Standard,East,6,63.94,1,58.76,0,39.29
C0041,2026-01-31,Standard,North,13,65.34,0,29.81,0,33.03
C0042,2026-01-31,Premium,East,23,,0,45.56,0,51.56
C0043,2026-01-31,Standard,West,3,70.99,5,35.35,0,14.25
C0044,2026-01-31,Basic,West,60,39.91,1,31.25,0,38.13
C0045,2026-01-31,Premium,South,15,96.18,4,46.33,0,46.02
C0046,2026-01-31,Premium,West,55,97.76,1,52.48,0,41.03
C0047,2026-01-31,Basic,East,44,31.36,2,56.8,0,50.72
C0048,2026-01-31,Basic,South,66,30.92,1,28.74,0,21.4
C0049,2026-01-31,Standard,North,25,68.65,0,39.79,0,36.56
C0050,2026-01-31,Basic,South,67,28.69,2,34.06,0,33.85
C0051,2026-01-31,Basic,East,62,34.23,0,39.43,0,32.64
C0052,2026-01-31,Basic,West,4,39.71,1,31.13,0,25.71
C0053,2026-01-31,Standard,North,52,66.6,3,49.23,0,46.98
C0054,2026-01-31,,East,60,71.32,1,47.38,0,39.27
C0055,2026-01-31,Standard,West,18,63.74,3,58.61,0,46.9
C0056,2026-01-31,Standard,West,21,56.12,1,48.41,0,37.84
C0057,2026-01-31,Standard,South,55,65.96,1,54.97,0,35.1
C0058,2026-01-31,Standard,North,45,,0,27.54,0,22.6
C0059,2026-01-31,Basic,South,42,33.98,4,27.85,0,23.12
C0060,2026-01-31,Basic,West,10,38.24,0,37.0,0,34.5
C0061,2026-01-31,Standard,West,36,71.36,2,54.48,0,42.91
C0062,2026-01-31,Standard,East,41,66.94,0,37.11,0,38.07
C0063,2026-01-31,Standard,North,12,73.99,1,57.93,0,45.69
C0064,2026-01-31,Standard,North,68,61.51,1,47.97,0,33.31
C0065,2026-01-31,Standard,South,55,69.94,1,56.63,0,44.5
C0066,2026-01-31,Standard,East,22,59.87,0,43.92,0,45.84
C0067,2026-01-31,Standard,North,32,64.29,1,45.16,0,36.41
C0068,2026-01-31,Basic,East,25,28.09,0,36.36,0,27.48
C0069,2026-01-31,Basic,East,29,26.31,0,10.64,0,7.77
C0070,2026-01-31,Standard,North,54,74.51,2,45.18,0,38.79
C0071,2026-01-31,Basic,North,3,34.43,2,0.0,0,0.93
C0072,2026-01-31,Basic,South,62,38.03,0,13.8,0,21.14
C0073,2026-01-31,Premium,East,27,95.49,1,51.36,0,45.33
C0074,2026-01-31,Basic,West,6,32.42,4,44.87,1,27.21
C0075,2026-01-31,Basic,South,30,33.06,0,32.93,0,33.54
C0076,2026-01-31,Basic,South,56,36.57,2,27.13,0,27.7
C0077,2026-01-31,Basic,West,46,32.17,0,53.83,0,50.67
C0078,2026-01-31,Standard,South,63,59.12,2,35.76,0,26.9
C0079,2026-01-31,Standard,South,53,69.21,1,59.6,0,64.53
C0080,2026-01-31,Standard,South,32,73.53,3,49.58,0,40.85
C0081,2026-01-31,Standard,North,67,65.48,2,35.49,0,24.92
C0082,2026-01-31,Basic,South,37,36.51,2,55.63,1,37.46
C0083,2026-01-31,Premium,East,45,93.36,2,52.44,0,44.41
C0084,2026-01-31,Basic,West,31,33.48,1,24.93,1,23.56
C0085,2026-01-31,Basic,East,18,25.24,2,25.14,0,23.03
C0086,2026-01-31,Basic,West,63,32.69,0,39.0,0,40.47
C0087,2026-01-31,Standard,East,25,68.22,2,27.32,0,26.75
C0088,2026-01-31,Standard,North,45,59.41,4,43.77,0,36.07
C0089,2026-01-31,Basic,South,41,32.06,2,29.38,0,29.4
C0090,2026-01-31,Standard,West,45,65.16,1,46.73,0,38.39
C0091,2026-01-31,Basic,North,9,38.36,1,38.69,1,30.5
C0092,2026-01-31,Standard,West,14,58.02,1,44.73,0,33.32
C0093,2026-01-31,,East,32,63.95,1,46.44,0,38.23
C0094,2026-01-31,Basic,South,56,32.19,0,34.93,0,26.62
C0095,2026-01-31,Basic,West,61,42.13,1,33.42,0,33.43
