customer_id,snapshot_date,plan,region,tenure_months,monthly_charge,support_contacts,usage_hours,churned_next_month
C0001,2026-01-31,Standard,North,28,64.18,4,31.53,1
C0002,2026-01-31,Standard,South,38,,0,32.93,0
C0003,2026-01-31,Premium,East,15,97.31,1,46.64,0
C0004,2026-01-31,Standard,West,65,64.09,0,51.05,0
C0005,2026-01-31,Basic,East,4,33.98,0,19.77,0
C0006,2026-01-31,Premium,West,18,94.96,2,56.63,0
C0007,2026-01-31,Standard,East,60,60.74,2,61.77,0
C0008,2026-01-31,Standard,North,44,66.95,3,54.38,0
C0009,2026-01-31,Basic,South,13,38.27,1,45.42,0
C0010,2026-01-31,Standard,West,47,60.66,0,23.18,0
C0011,2026-01-31,Basic,North,4,40.6,2,35.66,1
C0012,2026-01-31,Premium,West,36,94.28,1,50.73,0
C0013,2026-01-31,Standard,East,3,67.55,2,39.13,0
C0014,2026-01-31,Premium,South,33,106.5,1,60.29,0
C0015,2026-01-31,Standard,West,31,67.3,2,62.26,0
C0016,2026-01-31,Basic,West,47,26.16,2,52.7,0
C0017,2026-01-31,Standard,North,27,75.48,2,48.55,0
C0018,2026-01-31,Basic,North,44,37.25,0,37.83,0
C0019,2026-01-31,Premium,East,51,99.39,1,48.31,0
C0020,2026-01-31,Standard,West,53,61.92,0,50.79,0
C0021,2026-01-31,Standard,North,58,59.48,0,46.7,0
C0022,2026-01-31,Basic,East,49,31.88,2,43.8,0
C0023,2026-01-31,Premium,North,17,94.78,1,69.4,0
C0024,2026-01-31,Premium,East,33,97.74,0,55.94,0
C0025,2026-01-31,Standard,East,63,55.33,3,31.1,0
C0026,2026-01-31,Basic,North,18,34.15,4,21.6,1
C0027,2026-01-31,Standard,East,35,59.18,1,59.75,0
C0028,2026-01-31,Basic,West,29,36.18,5,35.5,0
C0029,2026-01-31,Basic,West,44,37.76,1,41.04,0
C0030,2026-01-31,Standard,North,65,62.09,0,48.2,0
C0031,2026-01-31,Standard,North,2,68.86,0,44.67,0
C0032,2026-01-31,Premium,North,48,90.92,1,53.07,0
C0033,2026-01-31,Basic,South,67,38.65,1,31.47,0
C0034,2026-01-31,Basic,North,20,27.73,2,18.57,1
C0035,2026-01-31,Standard,West,40,70.95,1,56.22,0
C0036,2026-01-31,Basic,West,40,34.4,0,23.39,0
C0037,2026-01-31,Basic,West,18,32.72,0,14.17,0
C0038,2026-01-31,Standard,North,14,66.6,3,35.79,0
C0039,2026-01-31,Basic,North,69,41.32,1,19.7,0
C0040,2026-01-31,Standard,West,51,65.98,1,43.38,0
C0041,2026-01-31,Standard,South,45,64.79,0,41.93,0
C0042,2026-01-31,Premium,East,20,86.12,1,50.59,0
C0043,2026-01-31,Standard,West,7,65.96,2,55.24,0
C0044,2026-01-31,Basic,North,13,36.88,0,44.45,0
C0045,2026-01-31,Premium,North,8,96.42,1,60.27,0
C0046,2026-01-31,Premium,North,44,87.64,2,58.2,0
C0047,2026-01-31,Basic,North,44,27.54,0,41.81,0
C0048,2026-01-31,Basic,North,21,31.53,1,14.5,0
C0049,2026-01-31,Standard,West,54,66.94,2,31.92,0
C0050,2026-01-31,Basic,East,52,34.49,2,25.37,0
C0051,2026-01-31,Basic,West,17,31.51,2,35.88,0
C0052,2026-01-31,Basic,West,8,33.86,1,27.88,0
C0053,2026-01-31,Standard,West,22,57.5,1,48.28,0
C0054,2026-01-31,Standard,North,46,68.2,1,52.0,1
C0055,2026-01-31,Standard,South,59,57.14,1,38.92,0
C0056,2026-01-31,Standard,West,28,67.05,1,37.17,0
C0057,2026-01-31,Standard,North,56,59.36,0,45.9,0
C0058,2026-01-31,Standard,North,17,62.73,2,40.55,0
C0059,2026-01-31,Basic,East,3,38.2,1,35.42,0
C0060,2026-01-31,Basic,West,62,38.03,2,38.18,0
C0061,2026-01-31,Standard,West,14,74.61,0,44.62,0
C0062,2026-01-31,Standard,West,10,64.55,3,51.1,0
C0063,2026-01-31,Standard,North,65,58.16,1,49.15,0
C0064,2026-01-31,Standard,West,50,63.06,0,42.79,0
C0065,2026-01-31,Standard,West,48,66.57,2,50.31,0
C0066,2026-01-31,Standard,East,24,70.5,3,53.43,0
C0067,2026-01-31,Standard,West,32,59.12,1,41.03,0
C0068,2026-01-31,Basic,West,43,29.74,0,28.42,0
C0069,2026-01-31,Basic,South,69,32.74,1,28.63,0
C0070,2026-01-31,Standard,North,17,66.05,3,33.55,0
C0071,2026-01-31,Basic,South,10,30.08,1,44.32,0
C0072,2026-01-31,Basic,North,6,40.08,2,19.11,1
C0073,2026-01-31,Premium,North,45,93.36,2,55.2,0
C0074,2026-01-31,Basic,North,31,37.21,1,23.3,0
C0075,2026-01-31,Basic,East,21,37.39,0,34.16,0
C0076,2026-01-31,Basic,East,53,34.96,3,37.84,0
C0077,2026-01-31,Basic,East,53,38.85,3,64.11,0
C0078,2026-01-31,Standard,East,69,69.3,1,39.4,0
C0079,2026-01-31,Standard,East,64,59.41,1,59.32,0
C0080,2026-01-31,Standard,East,63,63.71,1,52.74,0
C0081,2026-01-31,Standard,North,30,69.39,0,40.21,0
C0082,2026-01-31,Basic,West,24,29.41,1,35.14,0
C0083,2026-01-31,Premium,South,9,98.36,1,58.38,0
C0084,2026-01-31,Basic,North,14,,0,36.58,0
C0085,2026-01-31,Basic,West,17,40.12,1,50.54,1
C0086,2026-01-31,Basic,East,32,38.39,0,30.04,0
C0087,2026-01-31,Standard,North,63,59.68,2,45.05,0
C0088,2026-01-31,Standard,North,15,56.87,1,41.82,0
C0089,2026-01-31,Basic,North,34,24.96,0,36.79,0
C0090,2026-01-31,Standard,South,50,61.08,3,28.67,0
C0091,2026-01-31,Basic,North,14,27.24,0,42.36,0
C0092,2026-01-31,Standard,East,4,68.01,2,56.36,0
C0093,2026-01-31,Standard,East,37,65.74,0,40.95,0
C0094,2026-01-31,Basic,West,66,20.41,2,40.18,0
C0095,2026-01-31,Basic,East,34,27.67,1,20.5,0
C0096,2026-01-31,Standard,East,30,59.04,2,39.02,0
C0097,2026-01-31,Basic,East,3,26.4,0,19.65,0
C0098,2026-01-31,Basic,North,27,43.02,1,27.62,0
C0099,2026-01-31,Basic,North,55,28.86,2,27.14,0
C0100,2026-01-31,Premium,East,18,91.24,0,59.33,0
