customer_id,snapshot_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
C0001,2026-01-31,43,63.37,3,43.27,Standard,South,0
C0002,2026-01-31,5,76.5,2,24.83,Standard,East,0
C0003,2026-01-31,31,97.3,2,57.27,Premium,West,0
C0004,2026-01-31,47,56.16,2,44.51,Standard,North,0
C0005,2026-01-31,27,,2,38.12,Basic,North,1
C0006,2026-01-31,44,,0,65.51,Premium,North,0
C0007,2026-01-31,51,69.39,1,38.96,Standard,North,0
C0008,2026-01-31,53,61.92,0,39.38,Standard,North,0
C0009,2026-01-31,58,29.48,0,41.98,Basic,West,0
C0010,2026-01-31,49,61.88,2,45.87,Standard,East,0
C0011,2026-01-31,17,34.78,1,45.98,Basic,West,0
C0012,2026-01-31,33,97.74,0,65.35,Premium,West,0
C0013,2026-01-31,63,55.33,3,32.64,Standard,West,0
C0014,2026-01-31,18,100.99,3,58.4,Premium,North,0
C0015,2026-01-31,33,59.18,2,60.14,Standard,South,0
C0016,2026-01-31,35,36.18,5,26.88,Basic,West,0
C0017,2026-01-31,44,67.76,1,54.74,Standard,North,0
C0018,2026-01-31,65,32.09,0,40.46,Basic,North,0
C0019,2026-01-31,2,98.86,0,56.96,Premium,East,0
C0020,2026-01-31,48,60.92,1,31.4,Standard,West,0
C0021,2026-01-31,67,68.65,1,28.33,Standard,West,0
C0022,2026-01-31,20,27.73,2,24.85,Basic,West,1
C0023,2026-01-31,40,100.95,1,56.12,Premium,North,0
C0024,2026-01-31,40,94.4,0,35.29,Premium,West,0
C0025,2026-01-31,18,62.72,0,41.01,Standard,West,0
C0026,2026-01-31,14,36.6,3,26.02,Basic,East,1
C0027,2026-01-31,69,71.32,1,35.05,Standard,West,0
C0028,2026-01-31,51,35.98,1,35.9,Basic,West,0
C0029,2026-01-31,45,34.79,0,58.4,Basic,South,0
C0030,2026-01-31,20,56.12,1,33.22,Standard,North,1
C0031,2026-01-31,7,65.96,2,62.91,Standard,South,0
C0032,2026-01-31,13,96.88,0,58.74,Premium,North,0
C0033,2026-01-31,8,36.42,1,45.12,Basic,North,0
C0034,2026-01-31,44,27.64,2,39.58,Basic,North,0
C0035,2026-01-31,44,57.54,0,48.27,Standard,East,0
C0036,2026-01-31,21,31.53,1,32.08,Basic,East,0
C0037,2026-01-31,54,36.94,2,40.29,Basic,East,0
C0038,2026-01-31,52,70.96,4,36.41,Standard,East,1
C0039,2026-01-31,43,31.51,0,45.74,Basic,East,0
C0040,2026-01-31,61,63.86,1,30.13,Standard,East,0
C0041,2026-01-31,22,57.5,1,38.33,Standard,North,0
C0042,2026-01-31,46,98.2,1,39.66,Premium,West,1
C0043,2026-01-31,59,57.14,1,41.19,Standard,South,0
C0044,2026-01-31,28,37.05,1,46.68,Basic,North,0
C0045,2026-01-31,56,89.36,0,48.84,Premium,West,0
C0046,2026-01-31,17,96.3,3,55.35,Premium,East,0
C0047,2026-01-31,58,34.43,1,20.91,Basic,North,0
C0048,2026-01-31,57,28.31,2,39.17,Basic,North,1
C0049,2026-01-31,27,65.49,1,24.96,Standard,North,0
C0050,2026-01-31,6,27.79,4,25.2,Basic,South,1
C0051,2026-01-31,13,30.9,0,38.6,Basic,North,0
C0052,2026-01-31,33,37.53,0,41.31,Basic,East,0
C0053,2026-01-31,45,66.57,0,66.82,Standard,East,0
C0054,2026-01-31,60,62.17,2,44.22,Standard,West,0
C0055,2026-01-31,21,59.12,2,53.03,Standard,East,0
C0056,2026-01-31,44,59.74,0,45.47,Standard,East,0
C0057,2026-01-31,69,62.74,1,43.0,Standard,East,0
C0058,2026-01-31,17,66.48,1,41.16,Standard,North,0
C0059,2026-01-31,45,35.48,1,24.38,Basic,North,0
C0060,2026-01-31,42,40.55,1,29.03,Basic,East,0
C0061,2026-01-31,30,64.96,0,41.69,Standard,North,0
C0062,2026-01-31,16,63.36,1,30.68,Standard,North,0
C0063,2026-01-31,67,63.48,1,28.06,Standard,North,0
C0064,2026-01-31,13,67.39,0,49.88,Standard,West,0
C0065,2026-01-31,35,66.37,1,41.47,Standard,South,0
C0066,2026-01-31,59,54.46,4,42.48,Standard,East,0
C0067,2026-01-31,27,69.3,1,51.87,Standard,South,0
C0068,2026-01-31,37,29.41,2,45.23,Basic,North,0
C0069,2026-01-31,13,42.39,1,33.12,Basic,South,0
C0070,2026-01-31,36,69.39,0,30.61,Standard,North,0
C0071,2026-01-31,5,38.31,2,43.83,Basic,West,0
C0072,2026-01-31,17,37.38,1,46.75,Basic,North,1
C0073,2026-01-31,3,88.02,0,59.73,Premium,South,0
C0074,2026-01-31,59,40.12,0,46.21,Basic,West,1
C0075,2026-01-31,39,39.36,2,44.37,Basic,East,0
C0076,2026-01-31,14,44.04,3,53.3,Basic,South,0
C0077,2026-01-31,51,35.51,1,31.49,Basic,East,0
C0078,2026-01-31,5,61.08,4,43.7,Standard,West,1
C0079,2026-01-31,14,57.24,0,50.94,Standard,South,0
C0080,2026-01-31,4,68.01,2,33.47,Standard,East,0
C0081,2026-01-31,37,65.74,0,47.96,Standard,West,0
C0082,2026-01-31,66,20.41,2,29.75,Basic,East,0
C0083,2026-01-31,34,87.67,1,39.38,Premium,South,0
C0084,2026-01-31,30,29.04,2,44.82,Basic,North,0
C0085,2026-01-31,3,26.4,0,41.54,Basic,North,0
C0086,2026-01-31,27,43.02,1,49.22,Basic,West,0
C0087,2026-01-31,55,58.86,2,30.65,Standard,East,0
C0088,2026-01-31,18,61.24,0,29.08,Standard,South,1
C0089,2026-01-31,30,26.12,1,30.57,Basic,South,0
C0090,2026-01-31,34,62.07,3,45.74,Standard,East,0
C0091,2026-01-31,21,31.33,0,39.14,Basic,East,0
C0092,2026-01-31,11,62.85,0,58.19,Standard,East,0
C0093,2026-01-31,20,73.48,0,34.05,Standard,South,0
C0094,2026-01-31,21,36.09,0,47.04,Basic,East,0
C0095,2026-01-31,24,33.74,1,23.17,Basic,South,1
C0096,2026-01-31,28,60.97,1,41.25,Standard,West,0
C0097,2026-01-31,58,39.83,0,36.47,Basic,North,0
C0098,2026-01-31,66,31.67,4,31.42,Basic,North,0
C0099,2026-01-31,55,29.45,1,39.82,Basic,South,0
C0100,2026-01-31,24,94.95,2,58.29,Premium,East,0
C0101,2026-01-31,55,97.91,0,51.95,Premium,East,0
C0102,2026-01-31,36,64.65,1,53.27,Standard,South,0
C0103,2026-01-31,10,41.54,2,32.65,Basic,West,0
C0104,2026-01-31,21,95.57,0,53.49,Premium,South,0
C0105,2026-01-31,33,69.61,1,28.42,Standard,North,0
C0106,2026-01-31,14,60.03,1,39.25,Standard,North,0
C0107,2026-01-31,4,58.88,1,47.43,Standard,West,0
C0108,2026-01-31,63,37.92,1,27.36,Basic,North,0
C0109,2026-01-31,12,36.36,2,50.33,Basic,West,0
C0110,2026-01-31,50,99.82,0,50.35,Premium,South,0
C0111,2026-01-31,43,57.97,0,45.71,Standard,North,0
C0112,2026-01-31,19,32.13,0,30.12,Basic,South,0
C0113,2026-01-31,30,37.04,1,38.27,Basic,East,0
C0114,2026-01-31,28,61.85,4,45.54,Standard,South,0
C0115,2026-01-31,51,38.92,2,40.39,Basic,West,0
C0116,2026-01-31,59,102.72,0,68.75,Premium,East,0
C0117,2026-01-31,20,63.6,0,20.56,Standard,South,0
C0118,2026-01-31,46,66.06,1,27.94,Standard,East,0
C0119,2026-01-31,46,67.45,0,37.82,Standard,West,0
C0120,2026-01-31,32,66.08,0,47.99,Standard,South,0
C0121,2026-01-31,52,64.86,1,51.18,Standard,North,0
C0122,2026-01-31,36,70.34,1,48.75,Standard,South,0
C0123,2026-01-31,2,36.24,2,36.77,Basic,West,0
C0124,2026-01-31,55,33.34,1,58.69,Basic,North,0
C0125,2026-01-31,28,30.29,0,49.95,Basic,West,0
C0126,2026-01-31,51,68.66,1,41.42,Standard,East,0
C0127,2026-01-31,19,36.66,0,40.62,Basic,East,0
C0128,2026-01-31,62,30.28,1,44.96,Basic,South,0
