customer_id,snapshot_date,access_group,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
C00001,2026-01-31,Group A,33,,1,50.06,Standard,West,0
C00682,2026-01-31,Group B,63,36.59,3,32.83,Basic,North,0
C00678,2026-01-31,Group A,10,60.76,1,26.08,Standard,North,0
C00674,2026-01-31,Group A,7,69.24,2,33.91,Standard,East,0
C00670,2026-01-31,Group C,25,65.08,3,33.79,Standard,East,0
C00663,2026-01-31,Group C,8,64.24,0,43.67,Standard,South,0
C00659,2026-01-31,Group C,56,99.67,2,55.7,Premium,West,0
C00623,2026-01-31,Group A,16,29.9,0,31.1,Basic,East,0
C00620,2026-01-31,Group A,42,41.58,1,33.06,Basic,West,0
C00619,2026-01-31,Group A,30,102.67,0,69.74,Premium,South,0
C00604,2026-01-31,Group A,16,29.15,0,20.32,Basic,East,0
C00588,2026-01-31,Group B,68,36.38,1,27.6,Basic,West,0
C00695,2026-01-31,Group A,10,36.51,0,49.81,Basic,North,0
C00584,2026-01-31,Group C,3,89.79,0,55.19,Premium,West,0
C00581,2026-01-31,Group B,33,30.0,2,35.14,Basic,West,0
C00580,2026-01-31,Group A,49,63.92,0,44.98,Standard,West,0
C00575,2026-01-31,Group A,51,91.58,2,45.36,Premium,West,0
C00574,2026-01-31,Group B,24,92.98,2,41.09,Premium,South,0
C00562,2026-01-31,Group C,23,92.26,0,56.25,Premium,East,0
C00546,2026-01-31,Group A,2,62.27,2,59.55,Standard,South,0
C00542,2026-01-31,Group B,47,35.93,3,41.84,Basic,North,0
C00540,2026-01-31,Group B,51,38.34,2,48.87,Basic,East,0
C00538,2026-01-31,Group A,17,61.8,2,45.01,Standard,North,0
C00536,2026-01-31,Group C,41,67.51,1,45.03,Standard,South,0
C00533,2026-01-31,Group A,39,64.13,2,27.98,Standard,East,1
C00583,2026-01-31,Group B,59,68.65,1,78.36,Standard,East,0
C00699,2026-01-31,Group B,54,82.77,3,48.07,Premium,East,0
C00700,2026-01-31,Group A,56,92.07,1,67.61,Premium,West,0
C00705,2026-01-31,Group A,7,70.52,0,53.23,Standard,South,0
C00830,2026-01-31,Group C,24,44.31,1,25.8,Basic,East,0
C00826,2026-01-31,Group A,29,98.81,0,44.14,Premium,West,0
C00823,2026-01-31,Group B,17,104.2,2,40.65,Premium,East,0
C00821,2026-01-31,Group A,57,22.31,0,38.6,Basic,East,0
C00818,2026-01-31,Group A,49,42.16,0,42.27,Basic,South,0
C00817,2026-01-31,Group A,19,37.5,1,23.5,Basic,East,0
C00811,2026-01-31,Group C,71,69.66,1,55.04,Standard,North,0
C00808,2026-01-31,Group A,63,42.48,4,28.58,Basic,South,0
C00801,2026-01-31,Group A,51,92.57,0,35.62,Premium,West,0
C00791,2026-01-31,Group B,16,32.11,3,24.39,Basic,South,0
C00790,2026-01-31,Group A,50,73.3,0,34.75,Standard,South,0
C00787,2026-01-31,Group B,38,55.64,1,38.35,Standard,North,0
C00784,2026-01-31,Group B,21,27.51,0,49.97,Basic,East,0
C00783,2026-01-31,Group B,71,28.28,0,35.41,Basic,North,0
C00778,2026-01-31,Group A,29,96.26,0,32.21,Premium,East,0
C00773,2026-01-31,Group C,60,57.68,0,51.16,Standard,North,0
C00769,2026-01-31,Group A,51,46.6,3,14.9,Basic,North,0
C00759,2026-01-31,Group A,64,30.17,1,27.8,Basic,East,0
C00753,2026-01-31,Group A,57,37.29,1,49.89,Basic,North,0
C00752,2026-01-31,Group C,40,67.62,3,29.77,Standard,North,0
C00728,2026-01-31,Group C,56,68.59,0,30.99,Standard,East,0
C00726,2026-01-31,Group A,21,101.25,1,45.56,Premium,West,0
C00724,2026-01-31,Group A,64,88.96,4,48.31,Premium,West,0
C00721,2026-01-31,Group C,58,68.45,2,35.1,Standard,South,0
C00707,2026-01-31,Group A,24,32.65,3,35.61,Basic,South,0
C00532,2026-01-31,Group A,21,33.38,0,20.58,Basic,East,0
C00834,2026-01-31,Group A,54,59.83,1,34.8,Standard,North,0
C00528,2026-01-31,Group A,37,59.21,2,39.52,Standard,North,0
C00518,2026-01-31,Group C,6,64.41,0,22.46,Standard,North,0
C00369,2026-01-31,Group A,56,99.19,1,65.31,Premium,East,0
C00365,2026-01-31,Group C,25,34.15,3,43.85,Basic,North,1
C00359,2026-01-31,Group C,57,70.81,2,43.0,Standard,North,0
C00357,2026-01-31,Group A,51,63.26,1,48.2,Standard,North,0
C00352,2026-01-31,Group A,11,71.26,2,43.12,Standard,East,1
C00350,2026-01-31,Group A,48,89.98,0,68.59,Premium,North,0
C00329,2026-01-31,Group B,32,33.69,0,40.51,Basic,East,0
C00328,2026-01-31,Group A,7,99.98,4,61.13,Premium,South,0
C00322,2026-01-31,Group B,50,71.42,1,60.4,Standard,East,0
C00313,2026-01-31,Group A,30,61.31,0,32.48,Standard,North,0
