customer_id,snapshot_date,audit_group,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
C0001,2026-01-31,Group C,40,64.35,0,48.0,Standard,West,0.0
C0002,2026-01-31,Group A,64,62.65,1,54.86,Standard,West,0.0
C0003,2026-01-31,Group A,17,100.95,1,37.29,Premium,North,0.0
C0004,2026-01-31,Group B,68,57.67,1,22.07,Standard,West,0.0
C0005,2026-01-31,Group A,49,32.08,2,28.32,Basic,West,0.0
C0006,2026-01-31,Group A,51,92.98,1,41.94,Premium,East,0.0
C0007,2026-01-31,Group C,37,64.83,0,70.89,Standard,West,0.0
C0008,2026-01-31,Group B,51,58.63,0,26.88,Standard,West,0.0
C0009,2026-01-31,Group A,8,31.24,1,23.47,Basic,South,0.0
C0010,2026-01-31,Group C,49,65.28,0,69.36,Standard,North,0.0
C0011,2026-01-31,Group A,36,33.57,3,34.04,Basic,South,0.0
C0012,2026-01-31,Group C,24,91.33,2,55.89,Premium,North,0.0
C0013,2026-01-31,Group A,38,68.98,0,42.88,Standard,North,0.0
C0014,2026-01-31,Group B,21,88.3,1,63.45,Premium,North,0.0
C0015,2026-01-31,Group A,53,67.44,0,58.87,Standard,East,0.0
C0016,2026-01-31,Group A,9,33.55,2,24.78,Basic,East,0.0
C0017,2026-01-31,Group C,53,67.73,1,53.86,Standard,East,0.0
C0018,2026-01-31,Group A,25,34.54,2,25.16,Basic,East,0.0
C0019,2026-01-31,Group A,68,97.17,0,51.63,Premium,East,0.0
C0020,2026-01-31,Group A,68,70.94,2,40.05,Standard,East,0.0
C0021,2026-01-31,Group B,2,64.86,2,39.25,Standard,North,1.0
C0022,2026-01-31,Group B,34,35.65,2,31.85,Basic,West,0.0
C0023,2026-01-31,Group C,51,96.03,1,33.39,Premium,South,0.0
C0024,2026-01-31,Group A,60,93.02,1,45.65,Premium,North,0.0
C0025,2026-01-31,Group A,40,66.47,1,35.85,Standard,West,0.0
C0026,2026-01-31,Group A,15,28.1,1,22.25,Basic,East,0.0
C0027,2026-01-31,Group B,5,59.39,0,47.42,Standard,North,0.0
C0028,2026-01-31,Group C,40,36.83,1,39.94,Basic,North,0.0
C0029,2026-01-31,Group B,63,36.9,4,43.77,Basic,North,0.0
C0030,2026-01-31,Group B,65,64.84,0,38.19,Standard,South,0.0
C0031,2026-01-31,Group A,43,55.11,0,31.87,Standard,North,0.0
C0032,2026-01-31,Group C,19,88.57,0,43.51,Premium,East,0.0
C0033,2026-01-31,Group A,30,36.94,1,49.96,Basic,East,0.0
C0034,2026-01-31,Group A,28,37.34,4,35.83,Basic,West,0.0
C0035,2026-01-31,Group A,51,69.35,2,46.02,Standard,East,0.0
C0036,2026-01-31,Group A,59,36.28,0,48.21,Basic,East,0.0
C0037,2026-01-31,Group A,20,32.44,0,15.64,Basic,East,0.0
C0038,2026-01-31,Group A,46,66.95,1,44.67,Standard,North,1.0
C0039,2026-01-31,Group A,46,33.7,0,56.42,Basic,North,0.0
C0040,2026-01-31,Group B,32,65.22,2,47.97,Standard,East,0.0
C0041,2026-01-31,Group A,33,62.38,1,55.64,Standard,North,0.0
C0042,2026-01-31,Group A,19,93.11,1,68.62,Premium,North,0.0
C0043,2026-01-31,Group C,41,69.23,0,53.31,Standard,North,0.0
C0044,2026-01-31,Group B,58,48.52,1,16.36,Basic,West,0.0
C0045,2026-01-31,Group B,28,99.68,0,32.15,Premium,South,0.0
C0046,2026-01-31,Group A,51,90.77,1,57.55,Premium,East,0.0
C0047,2026-01-31,Group C,19,30.95,0,31.23,Basic,South,0.0
C0048,2026-01-31,Group A,62,41.51,1,43.09,Basic,North,0.0
C0049,2026-01-31,Group A,54,56.45,0,55.23,Standard,South,0.0
C0050,2026-01-31,Group C,64,29.61,0,14.34,Basic,North,0.0
C0051,2026-01-31,Group B,22,37.54,1,26.99,Basic,West,1.0
C0052,2026-01-31,Group B,14,25.69,1,12.43,Basic,North,0.0
C0053,2026-01-31,Group B,62,75.05,1,39.55,Standard,South,0.0
C0054,2026-01-31,Group B,52,60.0,0,37.65,Standard,West,0.0
C0055,2026-01-31,Group A,47,65.07,0,39.28,Standard,East,0.0
C0056,2026-01-31,Group A,28,65.45,1,52.83,Standard,South,0.0
C0057,2026-01-31,Group A,20,68.95,3,52.62,Standard,East,0.0
C0058,2026-01-31,Group A,67,65.07,1,38.13,Standard,West,0.0
C0059,2026-01-31,Group C,4,,4,12.82,Basic,South,1.0
C0060,2026-01-31,Group A,36,36.39,1,52.48,Basic,East,0.0
C0061,2026-01-31,Group B,3,64.8,2,43.78,Standard,West,0.0
C0062,2026-01-31,Group B,14,71.15,0,45.26,Standard,East,0.0
C0063,2026-01-31,Group B,41,57.09,1,49.73,Standard,South,0.0
C0064,2026-01-31,Group A,43,59.82,0,39.34,Standard,North,0.0
C0065,2026-01-31,Group A,16,66.66,1,56.17,Standard,North,0.0
C0066,2026-01-31,Group C,34,64.03,3,36.06,Standard,West,0.0
C0067,2026-01-31,Group B,12,55.77,0,49.67,Standard,East,0.0
C0068,2026-01-31,Group B,21,38.16,0,15.36,Basic,South,0.0
C0069,2026-01-31,Group C,21,32.27,1,37.06,Basic,South,0.0
C0070,2026-01-31,Group B,19,66.38,1,63.17,Standard,East,0.0
C0071,2026-01-31,Group A,8,37.23,2,25.75,Basic,East,1.0
C0072,2026-01-31,Group B,48,39.64,1,49.38,Basic,East,0.0
C0073,2026-01-31,Group A,50,92.55,0,52.6,Premium,South,0.0
C0074,2026-01-31,Group B,58,36.85,0,32.88,Basic,East,0.0
C0075,2026-01-31,Group C,62,36.4,2,52.41,Basic,South,0.0
C0076,2026-01-31,Group A,35,46.17,3,35.89,Basic,West,0.0
C0077,2026-01-31,Group A,20,23.08,1,20.03,Basic,North,1.0
C0078,2026-01-31,Group A,33,60.49,2,41.77,Standard,North,0.0
C0079,2026-01-31,Group C,31,65.42,0,46.5,Standard,South,0.0
C0080,2026-01-31,Group A,12,69.22,0,52.81,Standard,East,0.0
C0081,2026-01-31,Group A,25,60.15,1,33.96,Standard,East,0.0
C0082,2026-01-31,Group A,53,38.75,0,36.99,Basic,South,0.0
