snapshot_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region,churned_next_month
2026-01-31,69,67.82,1,29.71,Standard,East,0.0
2026-01-31,5,68.45,1,39.77,Standard,West,0.0
2026-01-31,46,88.16,2,52.19,Premium,South,0.0
2026-01-31,66,60.09,1,40.0,Standard,South,0.0
2026-01-31,59,31.38,4,34.29,Basic,East,0.0
2026-01-31,28,93.21,1,50.8,Premium,North,0.0
2026-01-31,9,58.19,2,37.44,Standard,North,0.0
2026-01-31,64,57.89,1,50.91,Standard,East,0.0
2026-01-31,64,30.89,0,51.36,Basic,East,0.0
2026-01-31,41,65.43,0,39.36,Standard,North,0.0
2026-01-31,68,29.1,0,41.85,Basic,East,1.0
2026-01-31,2,94.42,3,48.6,Premium,South,0.0
2026-01-31,43,70.29,0,47.65,Standard,East,0.0
2026-01-31,4,88.49,0,66.66,Premium,West,0.0
2026-01-31,65,63.97,1,49.09,Standard,North,1.0
2026-01-31,48,40.12,1,19.27,Basic,West,0.0
2026-01-31,64,62.91,2,48.54,Standard,South,0.0
2026-01-31,40,32.13,0,49.33,Basic,West,0.0
2026-01-31,7,100.82,1,48.78,Premium,South,0.0
2026-01-31,3,63.47,1,53.96,Standard,South,0.0
2026-01-31,24,70.52,1,37.1,Standard,West,0.0
2026-01-31,52,37.14,3,22.14,Basic,East,1.0
2026-01-31,12,93.29,0,52.41,Premium,North,0.0
2026-01-31,59,97.4,2,33.44,Premium,East,1.0
2026-01-31,18,66.6,0,41.6,Standard,West,0.0
2026-01-31,35,40.1,2,49.87,Basic,South,0.0
2026-01-31,15,62.26,1,24.9,Standard,West,0.0
2026-01-31,33,35.21,1,24.21,Basic,East,0.0
2026-01-31,32,34.69,0,26.68,Basic,South,0.0
2026-01-31,2,68.52,1,43.37,Standard,North,0.0
2026-01-31,40,59.87,4,40.34,Standard,East,0.0
2026-01-31,55,100.08,2,64.99,Premium,North,0.0
2026-01-31,65,37.33,2,46.54,Basic,West,0.0
2026-01-31,24,28.42,1,41.95,Basic,East,1.0
2026-01-31,61,71.04,0,45.46,Standard,South,0.0
2026-01-31,61,46.17,1,40.93,Basic,North,0.0
2026-01-31,69,40.01,3,28.38,Basic,East,0.0
2026-01-31,27,72.13,0,52.57,Standard,North,0.0
2026-01-31,59,35.43,0,25.88,Basic,South,0.0
2026-01-31,40,56.69,0,52.35,Standard,West,0.0
2026-01-31,5,55.78,2,55.86,Standard,West,0.0
2026-01-31,20,96.28,2,53.11,Premium,West,0.0
2026-01-31,47,62.04,0,42.24,Standard,West,0.0
2026-01-31,12,30.43,2,41.0,Basic,East,0.0
2026-01-31,31,94.69,3,22.38,Premium,North,0.0
2026-01-31,54,98.08,0,54.02,Premium,West,0.0
2026-01-31,12,27.74,2,35.87,Basic,West,0.0
2026-01-31,35,32.76,1,36.49,Basic,West,1.0
2026-01-31,16,72.55,3,51.07,Standard,East,0.0
2026-01-31,38,29.62,3,36.25,Basic,North,0.0
2026-01-31,18,39.35,1,25.6,Basic,East,0.0
2026-01-31,67,32.58,0,35.59,Basic,South,0.0
2026-01-31,7,67.73,0,44.68,Standard,West,0.0
2026-01-31,67,70.49,1,45.15,Standard,South,0.0
2026-01-31,55,68.71,1,45.62,Standard,South,0.0
2026-01-31,60,69.55,2,54.39,Standard,North,0.0
2026-01-31,59,59.24,2,33.14,Standard,West,0.0
2026-01-31,14,70.57,0,45.76,Standard,West,0.0
2026-01-31,65,30.74,5,49.9,Basic,North,0.0
2026-01-31,42,36.3,1,19.65,Basic,South,0.0
2026-01-31,67,66.29,1,45.8,Standard,South,0.0
2026-01-31,61,67.43,2,38.15,Standard,South,0.0
2026-01-31,41,66.68,1,40.29,Standard,West,0.0
2026-01-31,27,60.78,2,34.95,Standard,North,0.0
2026-01-31,9,58.25,1,42.3,Standard,South,0.0
2026-01-31,8,69.36,3,62.41,Standard,North,0.0
2026-01-31,28,65.93,0,31.36,Standard,North,0.0
2026-01-31,57,40.75,2,25.3,Basic,West,0.0
2026-01-31,36,34.78,0,23.98,Basic,West,0.0
2026-01-31,34,57.97,1,61.27,Standard,North,0.0
2026-01-31,18,39.83,0,32.38,Basic,East,0.0
2026-01-31,40,33.15,2,36.74,Basic,North,1.0
2026-01-31,45,96.71,1,46.97,Premium,North,0.0
2026-01-31,68,31.76,3,27.56,Basic,South,0.0
2026-01-31,51,43.22,2,34.65,Basic,North,0.0
2026-01-31,43,30.62,0,61.58,Basic,South,0.0
2026-01-31,63,33.31,0,50.92,Basic,West,0.0
2026-01-31,30,65.54,3,35.47,Standard,East,0.0
2026-01-31,65,59.54,2,50.48,Standard,East,0.0
2026-01-31,27,66.65,1,35.68,Standard,South,0.0
2026-01-31,10,73.06,2,26.24,Standard,North,0.0
2026-01-31,30,32.55,1,47.2,Basic,North,0.0
2026-01-31,10,96.98,3,62.6,Premium,South,0.0
2026-01-31,10,21.25,0,47.46,Basic,North,0.0
2026-01-31,61,34.81,0,32.3,Basic,West,0.0
2026-01-31,56,33.43,0,35.33,Basic,West,0.0
2026-01-31,17,60.91,0,51.5,Standard,West,1.0
2026-01-31,58,70.41,0,47.91,Standard,East,0.0
2026-01-31,6,33.37,1,33.06,Basic,East,1.0
2026-01-31,21,64.11,0,27.81,Standard,East,0.0
2026-01-31,50,33.11,5,38.14,Basic,South,0.0
2026-01-31,22,55.42,2,54.79,Standard,East,0.0
2026-01-31,51,59.34,1,32.02,Standard,West,0.0
2026-01-31,61,39.81,0,43.39,Basic,West,0.0
2026-01-31,6,24.45,1,40.32,Basic,East,0.0
2026-01-31,3,61.17,0,51.5,Standard,North,0.0
2026-01-31,65,33.0,2,45.72,Basic,East,0.0
2026-01-31,37,43.72,2,30.06,Basic,South,0.0
2026-01-31,36,38.84,1,20.83,Basic,East,0.0
2026-01-31,33,92.21,0,45.66,Premium,East,0.0
2026-01-31,31,101.52,2,59.89,Premium,West,0.0
2026-01-31,48,61.3,1,38.58,Standard,South,0.0
2026-01-31,41,40.05,2,30.06,Basic,West,0.0
2026-01-31,13,88.21,1,32.79,Premium,West,0.0
2026-01-31,44,70.37,3,61.53,Standard,South,0.0
2026-01-31,47,62.97,1,52.26,Standard,South,0.0
2026-01-31,9,59.86,0,51.7,Standard,East,0.0
2026-01-31,27,33.91,0,46.68,Basic,West,0.0
2026-01-31,55,36.39,1,42.77,Basic,East,0.0
2026-01-31,44,92.53,0,48.56,Premium,West,0.0
2026-01-31,11,67.77,3,42.36,Standard,South,0.0
2026-01-31,4,32.09,1,32.72,Basic,East,0.0
2026-01-31,41,38.1,2,63.35,Basic,South,0.0
2026-01-31,33,67.21,2,49.56,Standard,West,0.0
2026-01-31,67,34.7,1,32.36,Basic,South,0.0
2026-01-31,37,92.79,2,55.65,Premium,East,0.0
2026-01-31,65,65.76,2,33.89,Standard,North,0.0
2026-01-31,16,67.75,0,59.05,Standard,West,0.0
