customer_id,prediction_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region
C0146,2026-06-30,38,,0,24.39,Basic,East
C0335,2026-06-30,22,,1,34.44,Basic,North
C0176,2026-06-30,67,,2,19.48,Basic,West
C0370,2026-06-30,45,,3,41.32,Premium,West
C0417,2026-06-30,15,,0,36.08,Basic,North
C0074,2026-06-30,33,,0,46.92,Basic,West
C0133,2026-06-30,13,,0,71.78,Standard,South
C0138,2026-06-30,34,,0,46.08,Standard,East
C0031,2026-06-30,34,62.55,2,61.17,Standard,South
C0073,2026-06-30,61,87.83,1,59.12,Premium,South
C0071,2026-06-30,42,36.85,4,51.65,Basic,West
C0095,2026-06-30,59,37.02,0,31.81,Basic,South
C0369,2026-06-30,24,33.24,0,45.92,Basic,South
C0091,2026-06-30,56,33.08,0,32.09,Basic,East
C0327,2026-06-30,26,97.06,1,63.45,Premium,North
C0413,2026-06-30,52,24.96,1,21.81,Basic,North
C0010,2026-06-30,45,63.27,0,50.77,Standard,East
C0248,2026-06-30,14,,1,46.53,Basic,West
C0197,2026-06-30,52,68.29,0,56.8,Standard,West
C0232,2026-06-30,35,32.04,0,44.25,Basic,North
C0193,2026-06-30,60,41.34,3,19.14,Basic,East
C0240,2026-06-30,59,39.47,2,48.48,Basic,West
C0348,2026-06-30,67,41.99,1,38.44,Basic,East
C0229,2026-06-30,34,68.45,3,46.42,Standard,South
C0056,2026-06-30,33,60.85,0,48.22,Standard,East
C0354,2026-06-30,35,68.08,2,54.65,Standard,East
C0057,2026-06-30,22,59.72,0,54.11,Standard,East
C0298,2026-06-30,52,94.93,0,60.82,Premium,South
C0272,2026-06-30,18,35.77,1,24.03,Basic,North
C0080,2026-06-30,44,72.83,0,40.12,Standard,East
C0330,2026-06-30,48,36.05,1,51.4,Basic,West
C0117,2026-06-30,45,66.52,2,30.14,Standard,South
C0209,2026-06-30,53,39.06,2,39.28,Basic,East
C0195,2026-06-30,41,27.85,1,41.16,Basic,North
C0338,2026-06-30,41,58.23,2,38.44,Standard,North
C0185,2026-06-30,36,65.91,0,46.27,Standard,West
C0219,2026-06-30,68,105.32,1,58.22,Premium,South
C0040,2026-06-30,42,72.51,1,47.9,Standard,East
C0169,2026-06-30,65,37.01,2,45.0,Basic,East
C0263,2026-06-30,37,37.25,1,40.14,Basic,West
C0076,2026-06-30,38,40.67,2,47.28,Basic,South
C0077,2026-06-30,48,44.93,1,45.2,Basic,East
C0416,2026-06-30,63,33.69,1,33.36,Basic,North
C0034,2026-06-30,20,35.93,0,40.83,Basic,North
C0114,2026-06-30,70,56.21,4,37.22,Standard,South
C0376,2026-06-30,41,40.79,1,39.82,Basic,North
C0149,2026-06-30,36,64.09,1,45.37,Standard,North
C0295,2026-06-30,72,92.94,2,65.74,Premium,East
C0368,2026-06-30,52,73.65,1,44.97,Standard,East
C0016,2026-06-30,29,37.65,3,26.75,Basic,West
C0079,2026-06-30,70,64.54,1,52.74,Standard,South
C0318,2026-06-30,48,62.27,0,57.0,Standard,West
C0001,2026-06-30,68,74.87,2,40.67,Standard,South
C0020,2026-06-30,61,62.28,1,34.98,Standard,West
C0400,2026-06-30,40,65.86,3,54.63,Standard,North
C0279,2026-06-30,72,102.75,2,54.77,Premium,East
C0281,2026-06-30,54,40.82,1,20.15,Basic,North
C0278,2026-06-30,55,59.58,0,56.57,Standard,East
C0078,2026-06-30,58,,1,62.7,Standard,West
C0083,2026-06-30,19,93.84,4,49.75,Premium,South
C0357,2026-06-30,58,56.91,1,18.44,Standard,East
C0105,2026-06-30,74,71.2,1,32.03,Standard,North
C0026,2026-06-30,67,34.62,1,30.7,Basic,East
C0380,2026-06-30,50,67.38,3,46.52,Standard,South
C0173,2026-06-30,21,35.07,0,28.0,Basic,North
C0367,2026-06-30,44,57.88,0,58.2,Standard,East
C0267,2026-06-30,28,36.24,0,39.44,Basic,North
C0043,2026-06-30,52,63.89,3,51.8,Standard,South
C0174,2026-06-30,64,98.86,1,72.3,Premium,South
C0371,2026-06-30,20,54.72,0,68.58,Standard,East
C0125,2026-06-30,45,35.33,4,44.53,Basic,West
C0363,2026-06-30,25,43.19,0,21.67,Basic,West
C0297,2026-06-30,9,91.87,0,50.62,Premium,East
C0273,2026-06-30,16,35.08,2,29.55,Basic,North
C0023,2026-06-30,34,91.94,0,52.11,Premium,North
C0047,2026-06-30,42,38.16,1,19.87,Basic,North
C0285,2026-06-30,22,60.37,1,42.52,Standard,West
C0094,2026-06-30,66,36.24,1,50.16,Basic,East
C0407,2026-06-30,74,43.43,0,32.06,Basic,West
C0409,2026-06-30,10,37.19,0,16.63,Basic,South
C0058,2026-06-30,9,64.22,2,54.68,Standard,North
C0412,2026-06-30,68,72.34,3,54.83,Standard,South
C0025,2026-06-30,13,69.19,1,57.02,Standard,West
C0018,2026-06-30,51,31.91,1,48.21,Basic,North
C0067,2026-06-30,19,62.88,1,54.17,Standard,South
C0132,2026-06-30,37,,0,48.53,Premium,South
C0032,2026-06-30,15,94.87,3,54.39,Premium,North
C0085,2026-06-30,45,29.79,1,45.12,Basic,North
C0290,2026-06-30,20,38.75,1,47.03,Basic,East
C0372,2026-06-30,34,31.35,2,47.55,Basic,West
C0334,2026-06-30,71,96.99,1,58.78,Premium,North
C0154,2026-06-30,24,68.86,1,50.55,Standard,South
C0247,2026-06-30,8,69.42,1,69.0,Standard,West
C0205,2026-06-30,33,31.43,2,42.59,Basic,East
C0211,2026-06-30,28,67.35,0,39.08,Standard,East
C0006,2026-06-30,58,87.26,1,63.14,Premium,North
C0046,2026-06-30,41,99.37,4,59.26,Premium,East
C0282,2026-06-30,37,30.69,3,36.7,Basic,North
C0403,2026-06-30,30,72.49,2,54.42,Standard,West
C0362,2026-06-30,31,38.13,2,48.62,Basic,South
C0266,2026-06-30,67,35.71,1,40.28,Basic,North
C0017,2026-06-30,71,58.03,2,60.51,Standard,North
C0389,2026-06-30,25,32.23,1,48.54,Basic,North
C0249,2026-06-30,42,33.2,1,47.6,Basic,East
C0303,2026-06-30,61,69.1,1,38.94,Standard,West
C0004,2026-06-30,45,69.51,1,42.6,Standard,North
C0019,2026-06-30,45,93.56,1,55.3,Premium,East
C0394,2026-06-30,43,61.73,0,62.86,Standard,East
C0061,2026-06-30,15,64.31,1,53.74,Standard,North
