customer_id,prediction_date,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region
,2026-07-31,35,,1,48.4,Basic,South
C0094,2026-07-31,-4,,0,48.8,Basic,West
C0007,2026-07-31,22,,1,40.05,Legacy,North
C0168,2026-07-31,27,,0,26.16,Premium,Unknown-region
C0091,2026-07-31,44,,-1,36.69,Basic,South
C0514,not-a-date,13,,0,23.91,Basic,East
C0229,2026-07-31,14,,0,34.51,Basic,South
C0229,2026-07-31,22,,0,60.05,Standard,West
C0193,2026-07-31,18,34.93,1,36.0,Basic,West
C0483,2026-07-31,7,64.76,1,43.98,Standard,North
C0219,2026-07-31,40,96.16,1,62.75,Premium,East
C0181,2026-07-31,18,95.49,1,45.65,Premium,East
C0308,2026-07-31,7,59.63,0,60.0,Standard,East
C0509,2026-07-31,8,70.46,3,38.74,Standard,South
C0011,2026-07-31,39,26.37,1,52.08,Basic,East
C0382,2026-07-31,19,88.13,2,72.02,Premium,West
C0372,2026-07-31,17,30.09,1,50.07,Basic,East
C0031,2026-07-31,71,61.49,1,46.49,Standard,East
C0495,2026-07-31,37,65.49,1,42.51,Standard,West
C0138,2026-07-31,44,57.68,1,51.91,Standard,North
C0156,2026-07-31,44,76.45,3,35.96,Standard,East
C0085,2026-07-31,29,33.49,0,55.86,Basic,West
C0118,2026-07-31,48,64.95,0,40.41,Standard,West
C0173,2026-07-31,53,39.24,3,19.23,Basic,South
C0324,2026-07-31,52,65.16,0,35.6,Standard,North
C0332,2026-07-31,40,28.44,0,58.16,Basic,South
C0080,2026-07-31,57,62.0,0,44.32,Standard,South
C0453,2026-07-31,68,61.42,1,42.81,Standard,North
C0507,2026-07-31,52,34.59,0,21.16,Basic,East
C0254,2026-07-31,28,29.19,3,31.45,Basic,North
C0250,2026-07-31,20,60.18,3,26.29,Standard,East
C0341,2026-07-31,34,39.37,0,38.55,Basic,West
C0334,2026-07-31,11,89.03,2,35.7,Premium,South
C0010,2026-07-31,52,78.17,1,51.52,Standard,North
C0279,2026-07-31,31,100.8,1,61.13,Premium,South
C0069,2026-07-31,51,30.6,1,67.48,Basic,West
C0418,2026-07-31,57,60.84,2,46.34,Standard,South
C0204,2026-07-31,58,32.1,1,25.91,Basic,South
C0394,2026-07-31,64,67.67,2,60.04,Standard,East
C0306,2026-07-31,68,66.94,1,33.83,Standard,West
C0300,2026-07-31,23,68.13,1,38.32,Standard,South
C0348,2026-07-31,50,29.99,2,21.87,Basic,South
C0056,2026-07-31,69,60.57,0,59.68,Standard,North
C0516,2026-07-31,68,37.92,1,58.81,Basic,North
C0520,2026-07-31,33,98.04,3,61.99,Premium,West
C0159,2026-07-31,49,66.39,1,50.1,Standard,West
C0223,2026-07-31,10,69.81,1,43.73,Standard,South
C0256,2026-07-31,65,68.17,1,54.53,Standard,East
C0154,2026-07-31,8,59.77,4,60.16,Standard,East
C0177,2026-07-31,11,60.05,1,76.73,Standard,East
C0211,2026-07-31,53,67.53,2,53.02,Standard,North
C0290,2026-07-31,53,33.48,1,38.97,Basic,South
C0077,2026-07-31,39,26.7,1,39.33,Basic,West
C0448,2026-07-31,51,65.45,3,50.95,Standard,North
C0350,2026-07-31,20,32.12,2,27.64,Basic,West
C0149,2026-07-31,60,62.21,1,56.39,Standard,East
C0447,2026-07-31,54,86.95,3,57.3,Premium,North
C0074,2026-07-31,19,29.08,0,35.82,Basic,South
C0003,2026-07-31,71,94.37,1,59.34,Premium,South
C0078,2026-07-31,29,67.21,2,42.03,Standard,East
C0401,2026-07-31,50,40.97,1,34.93,Basic,West
C0517,2026-07-31,74,30.27,1,56.07,Basic,West
C0488,2026-07-31,39,29.92,2,61.06,Basic,North
C0298,2026-07-31,26,97.34,2,61.02,Premium,South
C0064,2026-07-31,57,62.68,0,52.47,Standard,North
C0484,2026-07-31,40,35.69,0,40.99,Basic,North
C0282,2026-07-31,48,31.24,1,31.06,Basic,South
C0071,2026-07-31,71,34.07,2,38.98,Basic,East
C0174,2026-07-31,60,88.18,0,72.32,Premium,West
C0034,2026-07-31,31,33.75,0,50.1,Basic,East
C0073,2026-07-31,33,88.02,3,66.41,Premium,North
C0079,2026-07-31,31,71.96,0,64.37,Standard,East
C0001,2026-07-31,46,60.86,0,61.94,Standard,East
C0012,2026-07-31,43,100.56,0,42.21,Premium,South
C0339,2026-07-31,46,34.01,1,37.26,Basic,East
C0023,2026-07-31,8,109.42,2,53.99,Premium,North
C0479,2026-07-31,68,63.47,1,55.39,Standard,South
C0491,2026-07-31,20,,3,43.98,Standard,North
C0105,2026-07-31,11,64.42,0,53.88,Standard,South
C0083,2026-07-31,50,92.3,1,45.59,Premium,South
C0186,2026-07-31,70,59.4,1,47.47,Standard,West
C0141,2026-07-31,10,69.0,0,46.87,Standard,East
C0019,2026-07-31,25,93.8,1,70.81,Premium,South
C0357,2026-07-31,13,69.0,1,21.8,Standard,East
C0133,2026-07-31,15,69.54,2,46.22,Standard,South
C0125,2026-07-31,52,34.54,3,29.17,Basic,East
C0102,2026-07-31,47,60.36,1,62.39,Standard,South
C0040,2026-07-31,41,60.23,0,47.8,Standard,West
C0471,2026-07-31,20,29.96,1,37.47,Basic,South
C0047,2026-07-31,36,45.45,1,27.04,Basic,West
C0315,2026-07-31,36,32.34,1,40.05,Basic,North
C0449,2026-07-31,47,31.66,1,37.23,Basic,North
C0366,2026-07-31,20,35.19,3,39.71,Basic,North
C0178,2026-07-31,49,93.55,0,68.87,Premium,East
C0287,2026-07-31,57,36.65,3,41.08,Basic,East
