customer_id,snapshot_date,audit_group,tenure_months,monthly_charge,support_contacts,usage_hours,plan,region
C0001,2026-08-31,Group C,34,65.85,0,52.7,Standard,West
C0002,2026-08-31,Group A,41,63.93,2,59.8,Standard,West
C0003,2026-08-31,Group A,59,88.43,1,58.76,Premium,North
C0004,2026-08-31,Group B,26,69.16,4,34.88,Standard,West
C0005,2026-08-31,Group A,25,32.15,1,45.32,Basic,West
C0006,2026-08-31,Group A,51,94.61,1,61.72,Premium,East
C0007,2026-08-31,Group C,68,58.36,1,65.16,Standard,West
C0008,2026-08-31,Group B,19,64.63,1,44.29,Standard,West
C0009,2026-08-31,Group A,10,46.09,0,33.52,Basic,South
C0010,2026-08-31,Group C,71,65.49,3,62.89,Standard,North
C0011,2026-08-31,Group A,36,27.19,4,44.94,Basic,South
C0012,2026-08-31,Group C,62,99.53,1,67.62,Premium,North
C0013,2026-08-31,Group A,43,70.5,1,53.98,Standard,North
C0014,2026-08-31,Group B,64,96.16,2,57.63,Premium,North
C0015,2026-08-31,Group A,62,59.0,3,49.62,Standard,East
C0016,2026-08-31,Group A,62,34.72,2,35.87,Basic,East
C0017,2026-08-31,Group C,28,63.74,3,71.7,Standard,East
C0018,2026-08-31,Group A,50,37.22,3,36.88,Basic,East
C0019,2026-08-31,Group A,59,93.91,0,61.09,Premium,East
C0020,2026-08-31,Group A,59,66.69,1,55.19,Standard,East
C0021,2026-08-31,Group B,41,60.08,1,47.9,Standard,North
C0022,2026-08-31,Group B,17,37.55,1,48.65,Basic,West
C0023,2026-08-31,Group C,56,86.95,3,58.95,Premium,South
C0024,2026-08-31,Group A,53,99.83,0,49.44,Premium,North
C0025,2026-08-31,Group A,52,65.45,0,54.52,Standard,West
C0026,2026-08-31,Group A,63,29.76,0,35.23,Basic,East
C0027,2026-08-31,Group B,72,69.14,1,46.09,Standard,North
C0028,2026-08-31,Group C,29,35.33,3,35.7,Basic,North
C0029,2026-08-31,Group B,49,36.66,3,51.0,Basic,North
C0030,2026-08-31,Group B,34,61.53,2,48.04,Standard,South
C0031,2026-08-31,Group A,70,66.2,0,41.98,Standard,North
C0032,2026-08-31,Group C,10,95.75,0,49.8,Premium,East
C0033,2026-08-31,Group A,14,30.48,3,51.73,Basic,East
C0034,2026-08-31,Group A,26,29.86,2,44.92,Basic,West
C0035,2026-08-31,Group A,14,57.23,0,39.54,Standard,East
C0036,2026-08-31,Group A,29,24.35,0,55.34,Basic,East
C0037,2026-08-31,Group A,37,36.57,2,23.15,Basic,East
C0038,2026-08-31,Group A,25,73.62,1,54.78,Standard,North
C0039,2026-08-31,Group A,52,37.7,1,67.73,Basic,North
C0040,2026-08-31,Group B,56,57.77,0,44.54,Standard,East
C0041,2026-08-31,Group A,48,69.0,3,50.32,Standard,North
C0042,2026-08-31,Group A,30,90.76,1,65.43,Premium,North
C0043,2026-08-31,Group C,54,69.26,0,54.1,Standard,North
C0044,2026-08-31,Group B,42,45.86,2,29.08,Basic,West
C0045,2026-08-31,Group B,16,96.41,2,50.06,Premium,South
C0046,2026-08-31,Group A,72,88.19,1,64.62,Premium,East
C0047,2026-08-31,Group C,62,36.9,0,37.23,Basic,South
C0048,2026-08-31,Group A,25,36.07,2,57.94,Basic,North
C0049,2026-08-31,Group A,39,54.9,2,39.72,Standard,South
C0050,2026-08-31,Group C,41,30.64,1,20.16,Basic,North
C0051,2026-08-31,Group B,14,30.96,3,28.46,Basic,West
C0052,2026-08-31,Group B,58,40.91,0,23.71,Basic,North
C0053,2026-08-31,Group B,47,59.96,0,48.86,Standard,South
C0054,2026-08-31,Group B,47,,1,55.12,Standard,West
C0055,2026-08-31,Group A,22,59.43,1,53.26,Standard,East
C0056,2026-08-31,Group A,13,61.15,0,60.42,Standard,South
C0057,2026-08-31,Group A,45,64.49,0,59.09,Standard,East
C0058,2026-08-31,Group A,11,61.3,1,54.06,Standard,West
C0059,2026-08-31,Group C,49,35.16,5,27.23,Basic,South
C0060,2026-08-31,Group A,67,29.28,0,47.41,Basic,East
C0061,2026-08-31,Group B,30,63.2,0,54.23,Standard,West
C0062,2026-08-31,Group B,36,69.59,1,48.22,Standard,East
C0063,2026-08-31,Group B,48,63.47,0,70.65,Standard,South
C0064,2026-08-31,Group A,39,71.25,1,31.59,Standard,North
C0065,2026-08-31,Group A,47,58.64,1,67.78,Standard,North
C0066,2026-08-31,Group C,25,72.47,2,36.35,Standard,West
C0067,2026-08-31,Group B,41,67.53,0,59.07,Standard,East
C0068,2026-08-31,Group B,71,35.89,2,35.03,Basic,South
C0069,2026-08-31,Group C,51,35.69,1,39.71,Basic,South
C0070,2026-08-31,Group B,69,64.42,2,64.82,Standard,East
C0071,2026-08-31,Group A,14,39.31,3,52.43,Basic,East
C0072,2026-08-31,Group B,57,37.4,0,51.74,Basic,East
C0073,2026-08-31,Group A,50,94.65,1,56.85,Premium,South
C0074,2026-08-31,Group B,57,32.63,1,40.71,Basic,East
C0075,2026-08-31,Group C,55,35.21,1,50.29,Basic,South
C0076,2026-08-31,Group A,54,35.29,1,47.73,Basic,West
C0077,2026-08-31,Group A,54,30.88,1,32.54,Basic,North
C0078,2026-08-31,Group A,54,61.51,2,45.72,Standard,North
C0079,2026-08-31,Group C,51,67.68,1,50.14,Standard,South
C0080,2026-08-31,Group A,30,66.27,0,46.98,Standard,East
C0081,2026-08-31,Group A,76,71.04,1,43.31,Standard,East
C0082,2026-08-31,Group A,23,35.49,1,39.46,Basic,South
C0083,2026-08-31,Group A,41,102.01,0,50.73,Premium,West
C0084,2026-08-31,Group A,47,32.99,1,39.98,Basic,South
C0085,2026-08-31,Group A,28,36.12,2,31.7,Basic,North
C0086,2026-08-31,Group A,52,42.36,1,42.66,Basic,North
C0087,2026-08-31,Group A,67,68.4,2,46.24,Standard,West
C0088,2026-08-31,Group A,22,54.02,0,55.08,Standard,North
C0089,2026-08-31,Group A,40,35.7,1,58.06,Basic,West
C0090,2026-08-31,Group A,9,62.57,3,55.61,Standard,South
C0091,2026-08-31,Group B,39,35.7,1,50.79,Basic,North
C0092,2026-08-31,Group A,30,57.28,0,49.95,Standard,South
C0093,2026-08-31,Group A,46,67.22,0,45.4,Standard,East
C0094,2026-08-31,Group A,50,34.89,4,35.54,Basic,South
C0095,2026-08-31,Group A,64,27.28,0,28.03,Basic,West
C0096,2026-08-31,Group A,63,65.15,2,48.52,Standard,East
C0097,2026-08-31,Group A,40,31.59,1,33.8,Basic,South
C0098,2026-08-31,Group C,11,40.46,1,44.3,Basic,East
C0099,2026-08-31,Group A,32,37.24,2,56.69,Basic,West
C0100,2026-08-31,Group A,46,95.76,2,47.29,Premium,South
C0101,2026-08-31,Group A,31,,0,57.94,Premium,North
C0102,2026-08-31,Group A,20,59.26,0,51.27,Standard,South
C0103,2026-08-31,Group A,38,39.43,0,42.64,Basic,West
C0104,2026-08-31,Group B,29,86.76,1,59.39,Premium,North
C0105,2026-08-31,Group C,43,66.01,2,45.41,Standard,West
C0106,2026-08-31,Group A,32,66.07,2,31.72,Standard,East
C0107,2026-08-31,Group A,21,70.49,0,45.93,Standard,East
C0108,2026-08-31,Group A,56,30.27,1,57.35,Basic,South
C0109,2026-08-31,Group A,58,47.12,1,25.37,Basic,West
C0110,2026-08-31,Group B,13,95.59,1,76.56,Premium,North
C0111,2026-08-31,Group A,58,65.19,1,60.27,Standard,South
C0112,2026-08-31,Group A,14,39.67,3,44.67,Basic,South
