row_id,customer_id,snapshot_date,churned_next_month,stratified_random_partition,customer_grouped_partition,chronological_partition
1,C0001,2026-01-31,0,train,train,train
2,C0002,2026-01-31,0,test,train,train
3,C0003,2026-01-31,0,train,train,train
4,C0004,2026-01-31,0,train,train,train
5,C0005,2026-01-31,0,test,train,train
6,C0006,2026-01-31,0,train,train,train
7,C0007,2026-01-31,0,train,train,train
8,C0008,2026-01-31,0,train,train,train
9,C0009,2026-01-31,0,train,train,train
10,C0010,2026-01-31,0,train,test,train
11,C0011,2026-01-31,0,train,train,train
12,C0012,2026-01-31,0,train,train,train
13,C0013,2026-01-31,0,test,test,train
14,C0014,2026-01-31,0,test,train,train
15,C0015,2026-01-31,0,test,train,train
16,C0016,2026-01-31,0,train,test,train
17,C0017,2026-01-31,0,train,test,train
18,C0018,2026-01-31,0,train,train,train
19,C0019,2026-01-31,0,train,test,train
20,C0020,2026-01-31,0,train,test,train
21,C0021,2026-01-31,0,test,train,train
22,C0022,2026-01-31,0,test,train,train
23,C0023,2026-01-31,0,train,train,train
24,C0024,2026-01-31,1,train,train,train
25,C0025,2026-01-31,0,train,test,train
26,C0026,2026-01-31,0,train,train,train
27,C0027,2026-01-31,0,train,train,train
28,C0028,2026-01-31,0,train,train,train
29,C0029,2026-01-31,1,train,train,train
30,C0030,2026-01-31,0,test,test,train
31,C0031,2026-01-31,1,train,test,train
32,C0032,2026-01-31,0,test,test,train
33,C0033,2026-01-31,0,train,train,train
34,C0034,2026-01-31,0,train,train,train
35,C0035,2026-01-31,1,test,train,train
36,C0036,2026-01-31,1,test,train,train
37,C0037,2026-01-31,1,train,train,train
38,C0038,2026-01-31,0,train,train,train
39,C0039,2026-01-31,0,test,train,train
40,C0040,2026-01-31,0,train,train,train
41,C0041,2026-01-31,0,test,train,train
42,C0042,2026-01-31,0,test,test,train
43,C0043,2026-01-31,0,train,test,train
44,C0044,2026-01-31,0,train,train,train
45,C0045,2026-01-31,1,test,train,train
46,C0046,2026-01-31,0,train,test,train
47,C0047,2026-01-31,0,train,train,train
48,C0048,2026-01-31,0,test,train,train
49,C0049,2026-01-31,0,test,train,train
50,C0050,2026-01-31,0,train,train,train
51,C0051,2026-01-31,0,train,train,train
52,C0052,2026-01-31,0,train,test,train
53,C0053,2026-01-31,0,train,train,train
54,C0054,2026-01-31,0,train,train,train
55,C0055,2026-01-31,0,test,train,train
56,C0056,2026-01-31,1,test,test,train
57,C0057,2026-01-31,0,train,test,train
58,C0058,2026-01-31,1,test,train,train
59,C0059,2026-01-31,0,train,train,train
60,C0060,2026-01-31,0,train,train,train
61,C0061,2026-01-31,0,test,test,train
62,C0062,2026-01-31,0,test,train,train
63,C0063,2026-01-31,0,train,train,train
64,C0064,2026-01-31,1,train,train,train
65,C0065,2026-01-31,0,train,train,train
66,C0066,2026-01-31,0,train,test,train
67,C0067,2026-01-31,0,train,test,train
68,C0068,2026-01-31,0,train,test,train
69,C0069,2026-01-31,0,test,test,train
70,C0070,2026-01-31,0,train,test,train
71,C0071,2026-01-31,0,train,train,train
72,C0072,2026-01-31,0,test,train,train
73,C0073,2026-01-31,0,test,train,train
74,C0074,2026-01-31,0,train,train,train
75,C0075,2026-01-31,0,test,train,train
76,C0076,2026-01-31,0,train,train,train
77,C0077,2026-01-31,0,train,train,train
78,C0078,2026-01-31,0,train,train,train
79,C0079,2026-01-31,0,train,test,train
80,C0080,2026-01-31,0,train,train,train
81,C0081,2026-01-31,0,train,train,train
82,C0082,2026-01-31,0,test,train,train
83,C0083,2026-01-31,0,train,train,train
84,C0084,2026-01-31,0,train,train,train
85,C0085,2026-01-31,0,train,train,train
86,C0086,2026-01-31,0,train,train,train
87,C0087,2026-01-31,0,train,train,train
88,C0088,2026-01-31,0,train,train,train
89,C0089,2026-01-31,0,train,train,train
90,C0090,2026-01-31,0,train,train,train
91,C0091,2026-01-31,0,test,train,train
92,C0092,2026-01-31,0,train,train,train
93,C0093,2026-01-31,0,train,train,train
94,C0094,2026-01-31,0,train,test,train
95,C0095,2026-01-31,0,train,train,train
96,C0096,2026-01-31,0,train,train,train
97,C0097,2026-01-31,0,train,test,train
98,C0098,2026-01-31,0,test,test,train
99,C0099,2026-01-31,1,train,train,train
100,C0100,2026-01-31,0,train,train,train
101,C0101,2026-01-31,0,train,test,train
102,C0102,2026-01-31,1,train,train,train
103,C0103,2026-01-31,0,train,train,train
104,C0104,2026-01-31,0,test,train,train
105,C0105,2026-01-31,0,train,train,train
106,C0106,2026-01-31,0,train,train,train
107,C0107,2026-01-31,0,train,train,train
108,C0108,2026-01-31,0,test,train,train
109,C0109,2026-01-31,0,train,train,train
110,C0110,2026-01-31,0,train,test,train
111,C0111,2026-01-31,0,test,train,train
112,C0112,2026-01-31,0,test,train,train
113,C0113,2026-01-31,0,test,train,train
114,C0114,2026-01-31,0,train,test,train
115,C0115,2026-01-31,0,test,train,train
116,C0116,2026-01-31,0,train,train,train
117,C0117,2026-01-31,0,train,train,train
118,C0118,2026-01-31,0,test,test,train
119,C0119,2026-01-31,1,test,test,train
120,C0120,2026-01-31,0,test,train,train
121,C0121,2026-01-31,0,train,test,train
122,C0122,2026-01-31,0,train,train,train
123,C0123,2026-01-31,0,train,train,train
124,C0124,2026-01-31,0,train,train,train
125,C0125,2026-01-31,0,train,test,train
126,C0126,2026-01-31,0,train,test,train
127,C0127,2026-01-31,0,train,test,train
128,C0128,2026-01-31,0,train,train,train
129,C0129,2026-01-31,0,train,train,train
130,C0130,2026-01-31,0,train,train,train
131,C0131,2026-01-31,0,train,train,train
132,C0132,2026-01-31,0,train,train,train
133,C0133,2026-01-31,1,train,train,train
134,C0134,2026-01-31,0,train,train,train
135,C0135,2026-01-31,0,train,train,train
136,C0136,2026-01-31,0,test,train,train
137,C0137,2026-01-31,0,train,train,train
138,C0138,2026-01-31,0,train,train,train
139,C0139,2026-01-31,0,train,train,train
140,C0140,2026-01-31,1,train,train,train
141,C0141,2026-01-31,0,train,test,train
142,C0142,2026-01-31,0,train,train,train
143,C0143,2026-01-31,0,train,test,train
144,C0144,2026-01-31,0,test,test,train
145,C0145,2026-01-31,0,train,train,train
146,C0146,2026-01-31,0,test,test,train
147,C0147,2026-01-31,0,train,train,train
148,C0148,2026-01-31,0,train,train,train
149,C0149,2026-01-31,1,train,test,train
150,C0150,2026-01-31,0,train,train,train
151,C0151,2026-01-31,0,test,train,train
152,C0152,2026-01-31,0,train,train,train
153,C0153,2026-01-31,0,train,train,train
154,C0154,2026-01-31,0,train,test,train
155,C0155,2026-01-31,0,test,train,train
156,C0156,2026-01-31,0,train,train,train
157,C0157,2026-01-31,0,train,train,train
