threshold,precision,recall,f1,predicted_positive_rate
0.1,0.0769,1.0,0.1429,0.975
0.12,0.0774,1.0,0.1436,0.9694
0.14,0.0767,0.963,0.1421,0.9417
0.16,0.076,0.9259,0.1404,0.9139
0.18,0.0791,0.9259,0.1458,0.8778
0.2,0.0828,0.9259,0.152,0.8389
0.22,0.0857,0.8889,0.1564,0.7778
0.24,0.0892,0.8889,0.1622,0.7472
0.26,0.0902,0.8519,0.1631,0.7083
0.28,0.0954,0.8519,0.1716,0.6694
0.3,0.0982,0.8148,0.1753,0.6222
0.32,0.1029,0.7778,0.1818,0.5667
0.34,0.1042,0.7407,0.1826,0.5333
0.36,0.1073,0.7037,0.1863,0.4917
0.38,0.1071,0.6667,0.1846,0.4667
0.4,0.1146,0.6667,0.1957,0.4361
0.42,0.1181,0.6296,0.1988,0.4
0.44,0.124,0.5926,0.2051,0.3583
0.46,0.1333,0.5926,0.2177,0.3333
0.48,0.1339,0.5556,0.2158,0.3111
0.5,0.14,0.5185,0.2205,0.2778
0.52,0.1444,0.4815,0.2222,0.25
0.54,0.1548,0.4815,0.2342,0.2333
0.56,0.1711,0.4815,0.2524,0.2111
0.58,0.194,0.4815,0.2766,0.1861
0.6,0.2281,0.4815,0.3095,0.1583
0.62,0.1887,0.3704,0.25,0.1472
0.64,0.2,0.3333,0.25,0.125
0.66,0.2093,0.3333,0.2571,0.1194
0.68,0.225,0.3333,0.2687,0.1111
0.7,0.2059,0.2593,0.2295,0.0944
0.72,0.2188,0.2593,0.2373,0.0889
0.74,0.1852,0.1852,0.1852,0.075
0.76,0.2083,0.1852,0.1961,0.0667
0.78,0.2273,0.1852,0.2041,0.0611
0.8,0.2353,0.1481,0.1818,0.0472
0.82,0.3333,0.1481,0.2051,0.0333
0.84,0.3636,0.1481,0.2105,0.0306
0.86,0.25,0.0741,0.1143,0.0222
0.88,0.4,0.0741,0.125,0.0139
0.9,0.25,0.037,0.0645,0.0111
