case_label,customer_id,feature,observed_value,reference_value,original_probability,reference_perturbed_probability,probability_difference
Case 1,C0013,tenure_months,72,37.0,0.09148,0.16237,-0.07088
Case 1,C0013,monthly_charge,59.3,61.2,0.09148,0.09215,-0.00066
Case 1,C0013,support_contacts,0,1.0,0.09148,0.16847,-0.07698
Case 1,C0013,usage_hours,43.21,44.125,0.09148,0.08854,0.00294
Case 1,C0013,plan,Standard,Basic,0.09148,0.17609,-0.08461
Case 1,C0013,region,East,East,0.09148,0.09148,0.0
Case 2,C0046,tenure_months,15,37.0,0.18274,0.12903,0.05371
Case 2,C0046,monthly_charge,98.29,61.2,0.18274,0.16067,0.02207
Case 2,C0046,support_contacts,0,1.0,0.18274,0.31029,-0.12755
Case 2,C0046,usage_hours,56.95,44.125,0.18274,0.27011,-0.08737
Case 2,C0046,plan,Premium,Basic,0.18274,0.29669,-0.11396
Case 2,C0046,region,North,East,0.18274,0.18426,-0.00153
Case 3,C0251,tenure_months,11,37.0,0.27787,0.1913,0.08657
Case 3,C0251,monthly_charge,63.79,61.2,0.27787,0.2757,0.00217
Case 3,C0251,support_contacts,0,1.0,0.27787,0.43637,-0.1585
Case 3,C0251,usage_hours,38.62,44.125,0.27787,0.23661,0.04125
Case 3,C0251,plan,Standard,Basic,0.27787,0.44956,-0.17169
Case 3,C0251,region,East,East,0.27787,0.27787,0.0
Case 4,C0082,tenure_months,14,37.0,0.37764,0.28293,0.09471
Case 4,C0082,monthly_charge,32.92,61.2,0.37764,0.40586,-0.02822
Case 4,C0082,support_contacts,0,1.0,0.37764,0.54973,-0.17208
Case 4,C0082,usage_hours,45.33,44.125,0.37764,0.38883,-0.01119
Case 4,C0082,plan,Basic,Basic,0.37764,0.37764,0.0
Case 4,C0082,region,West,East,0.37764,0.34265,0.03499
Case 5,C0246,tenure_months,35,37.0,0.53425,0.52493,0.00932
Case 5,C0246,monthly_charge,90.69,61.2,0.53425,0.50343,0.03083
Case 5,C0246,support_contacts,3,1.0,0.53425,0.22079,0.31346
Case 5,C0246,usage_hours,58.38,44.125,0.53425,0.66758,-0.13333
Case 5,C0246,plan,Premium,Basic,0.53425,0.68396,-0.14971
Case 5,C0246,region,North,East,0.53425,0.53678,-0.00253
Case 6,C0001,tenure_months,37,37.0,0.76472,0.76472,0.0
Case 6,C0001,monthly_charge,71.7,61.2,0.76472,0.75671,0.00801
Case 6,C0001,support_contacts,4,1.0,0.76472,0.28523,0.47949
Case 6,C0001,usage_hours,43.69,44.125,0.76472,0.76163,0.00309
Case 6,C0001,plan,Standard,Basic,0.76472,0.8734,-0.10868
Case 6,C0001,region,North,East,0.76472,0.76654,-0.00183
