feature,value,mean_predicted_probability
usage_hours,26.76,0.52483
usage_hours,28.48,0.5105
usage_hours,30.2,0.49617
usage_hours,31.92,0.48186
usage_hours,33.64,0.46761
usage_hours,35.37,0.45333
usage_hours,37.09,0.43923
usage_hours,38.81,0.42523
usage_hours,40.53,0.41135
usage_hours,42.25,0.39762
usage_hours,43.98,0.38397
usage_hours,45.7,0.37058
usage_hours,47.42,0.35737
usage_hours,49.14,0.34438
usage_hours,50.86,0.3316
usage_hours,52.59,0.31898
usage_hours,54.31,0.30668
usage_hours,56.03,0.29464
usage_hours,57.75,0.28286
usage_hours,59.47,0.27135
usage_hours,61.2,0.26006
usage_hours,62.92,0.24913
usage_hours,64.64,0.23848
usage_hours,66.36,0.22813
support_contacts,0.0,0.20051
support_contacts,0.13,0.21412
support_contacts,0.26,0.22834
support_contacts,0.39,0.24316
support_contacts,0.52,0.25859
support_contacts,0.65,0.27459
support_contacts,0.78,0.29116
support_contacts,0.91,0.30826
support_contacts,1.04,0.32586
support_contacts,1.17,0.34394
support_contacts,1.3,0.36246
support_contacts,1.43,0.38137
support_contacts,1.57,0.40213
support_contacts,1.7,0.42171
support_contacts,1.83,0.44153
support_contacts,1.96,0.46154
support_contacts,2.09,0.48169
support_contacts,2.22,0.5019
support_contacts,2.35,0.52213
support_contacts,2.48,0.54231
support_contacts,2.61,0.56237
support_contacts,2.74,0.58227
support_contacts,2.87,0.60195
support_contacts,3.0,0.62134
