month,feature,metric,value,severity,reference_missing_rate,current_missing_rate
2026-04,tenure_months,psi,0.06022,normal,0.0,0.0
2026-04,monthly_charge,psi,0.00523,normal,0.0,0.0
2026-04,support_contacts,psi,0.01253,normal,0.0,0.0
2026-04,usage_hours,psi,0.01624,normal,0.0,0.0
2026-04,plan,total_variation_distance,0.025,normal,0.0,0.0
2026-04,region,total_variation_distance,0.03526,normal,0.0,0.0
2026-05,tenure_months,psi,0.04522,normal,0.0,0.0
2026-05,monthly_charge,psi,0.00448,normal,0.0,0.0
2026-05,support_contacts,psi,0.02135,normal,0.0,0.0
2026-05,usage_hours,psi,0.02564,normal,0.0,0.0
2026-05,plan,total_variation_distance,0.00833,normal,0.0,0.0
2026-05,region,total_variation_distance,0.02628,normal,0.0,0.0
2026-06,tenure_months,psi,0.05435,normal,0.0,0.0
2026-06,monthly_charge,psi,0.02217,normal,0.0,0.03462
2026-06,support_contacts,psi,0.03663,normal,0.0,0.0
2026-06,usage_hours,psi,0.0998,normal,0.0,0.0
2026-06,plan,total_variation_distance,0.03333,normal,0.0,0.0
2026-06,region,total_variation_distance,0.03526,normal,0.0,0.0
2026-07,tenure_months,psi,0.15021,warning,0.0,0.0
2026-07,monthly_charge,psi,0.04609,normal,0.0,0.04231
2026-07,support_contacts,psi,0.09657,normal,0.0,0.0
2026-07,usage_hours,psi,0.17825,warning,0.0,0.0
2026-07,plan,total_variation_distance,0.05769,normal,0.0,0.0
2026-07,region,total_variation_distance,0.02244,normal,0.0,0.0
2026-08,tenure_months,psi,0.2966,critical,0.0,0.0
2026-08,monthly_charge,psi,0.04586,normal,0.0,0.05
2026-08,support_contacts,psi,0.11396,warning,0.0,0.0
2026-08,usage_hours,psi,0.2736,critical,0.0,0.0
2026-08,plan,total_variation_distance,0.07692,normal,0.0,0.0
2026-08,region,total_variation_distance,0.02436,normal,0.0,0.0
2026-09,tenure_months,psi,1.22413,critical,0.0,0.0
2026-09,monthly_charge,psi,0.04968,normal,0.0,0.05769
2026-09,support_contacts,psi,0.26984,critical,0.0,0.0
2026-09,usage_hours,psi,0.46126,critical,0.0,0.0
2026-09,plan,total_variation_distance,0.11154,warning,0.0,0.0
2026-09,region,total_variation_distance,0.01731,normal,0.0,0.0
2026-10,tenure_months,psi,1.28942,critical,0.0,0.0
2026-10,monthly_charge,psi,0.05803,normal,0.0,0.06538
2026-10,support_contacts,psi,0.38391,critical,0.0,0.0
2026-10,usage_hours,psi,0.79641,critical,0.0,0.0
2026-10,plan,total_variation_distance,0.11923,warning,0.0,0.0
2026-10,region,total_variation_distance,0.03397,normal,0.0,0.0
